,レンタルタイプ,都道府県,市区町村,町域以下,立地1_路線,立地1_駅,立地1_バス,立地1_徒歩,立地2_路線,立地2_駅,立地2_バス,立地2_徒歩,立地3_路線,立地3_駅,立地3_バス,立地3_徒歩,築年数,地下,地上,階,賃料,管理費,敷金,礼金,保証金,"敷引,償却費",部屋数,D有無,K有無,L有無,S有無,専有面積,月額費用,初期費用
0,賃貸アパート,東京,足立,西綾瀬４,東京メトロ千代田線,綾瀬駅,0,11,つくばエクスプレス,青井駅,0,12,東武伊勢崎線,小菅駅,0,15,33,0,2,2,25000.0,1000,25000.0,25000.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,24.0,26000.0,50000.0
1,賃貸アパート,東京,足立,小台２,日暮里・舎人ライナー,足立小台駅,0,17,ＪＲ高崎線,尾久駅,0,27,日暮里・舎人ライナー,熊野前駅,0,21,48,0,2,1,26000.0,0,26000.0,26000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.57,26000.0,52000.0
2,賃貸アパート,東京,足立,新田１,東京メトロ南北線,王子神谷駅,0,15,-,-,0,0,-,-,0,0,43,0,2,1,25000.0,1500,25000.0,25000.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,26500.0,50000.0
3,賃貸アパート,東京,足立,新田１,東京メトロ南北線,王子神谷駅,0,17,-,-,0,0,-,-,0,0,53,0,2,2,25000.0,1500,25000.0,25000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.01,26500.0,50000.0
4,賃貸アパート,東京,足立,新田１,東京メトロ南北線,王子神谷駅,0,17,-,-,0,0,-,-,0,0,53,0,2,1,25000.0,1500,25000.0,25000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.01,26500.0,50000.0
5,賃貸アパート,東京,足立,梅島２,東武伊勢崎線,梅島駅,0,9,東武伊勢崎線,西新井駅,0,13,東武大師線,大師前駅,0,23,58,0,2,1,28000.0,0,28000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,28000.0,28000.0
6,賃貸アパート,東京,足立,梅島２,東武伊勢崎線,梅島駅,0,9,東武伊勢崎線,西新井駅,0,13,東武大師線,大師前駅,0,23,58,0,2,1,28000.0,0,28000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,28000.0,28000.0
7,賃貸アパート,東京,足立,千住曙町,東京メトロ千代田線,北千住駅,0,15,京成本線,京成関屋駅,0,1,東武伊勢崎線,牛田駅,0,1,47,0,2,2,28000.0,0,28000.0,28000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,28000.0,56000.0
8,賃貸アパート,東京,足立,千住曙町,東京メトロ千代田線,北千住駅,0,15,東武伊勢崎線,牛田駅,0,1,京成本線,京成関屋駅,0,1,47,0,2,1,28000.0,0,28000.0,28000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,28000.0,56000.0
9,賃貸アパート,東京,足立,千住曙町,東京メトロ千代田線,北千住駅,0,15,東武伊勢崎線,牛田駅,0,1,京成本線,京成関屋駅,0,1,47,0,2,2,28000.0,0,28000.0,28000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,28000.0,56000.0
10,賃貸アパート,東京,足立,千住曙町,ＪＲ常磐線,北千住駅,0,13,京成本線,京成関屋駅,0,4,東武伊勢崎線,牛田駅,0,6,59,0,2,1,28000.0,0,28000.0,28000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,28000.0,56000.0
11,賃貸マンション,東京,足立,宮城２,ＪＲ京浜東北線,王子駅,0,30,日暮里・舎人ライナー,扇大橋駅,0,18,都電荒川線,小台駅,0,21,26,0,4,4,29000.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.06,29000.0,0.0
12,賃貸マンション,東京,足立,一ツ家２,つくばエクスプレス,六町駅,0,10,-,-,0,0,-,-,0,0,28,0,5,4,29000.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.4,29000.0,0.0
13,賃貸マンション,東京,足立,一ツ家２,つくばエクスプレス,六町駅,0,10,-,-,0,0,-,-,0,0,28,0,5,4,29000.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,29000.0,0.0
