,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
0,東京メトロ千代田線 綾瀬駅 2階建 築33年,賃貸アパート,東京都足立区西綾瀬４,東京メトロ千代田線/綾瀬駅 歩11分,つくばエクスプレス/青井駅 歩12分,東武伊勢崎線/小菅駅 歩15分,築33年,2階建,2階,2.5万円,1000円,2.5万円/2.5万円/-/-,2K,24m
1,小泉荘,賃貸アパート,東京都足立区小台２,日暮里・舎人ライナー/足立小台駅 歩17分,ＪＲ高崎線/尾久駅 歩27分,日暮里・舎人ライナー/熊野前駅 歩21分,築48年,2階建,1階,2.6万円,-,2.6万円/2.6万円/-/-,ワンルーム,11.57m
2,東京メトロ南北線 王子神谷駅 2階建 築43年,賃貸アパート,東京都足立区新田１,東京メトロ南北線/王子神谷駅 歩15分,None,None,築43年,2階建,1階,2.5万円,1500円,2.5万円/2.5万円/-/-,1K,12m
3,文月荘,賃貸アパート,東京都足立区新田１,東京メトロ南北線/王子神谷駅 歩17分,None,None,築53年,2階建,2階,2.5万円,1500円,2.5万円/2.5万円/-/-,ワンルーム,10.01m
4,文月荘,賃貸アパート,東京都足立区新田１,東京メトロ南北線/王子神谷駅 歩17分,None,None,築53年,2階建,1階,2.5万円,1500円,2.5万円/2.5万円/-/-,ワンルーム,10.01m
5,豊和荘,賃貸アパート,東京都足立区梅島２,東武伊勢崎線/梅島駅 歩9分,東武伊勢崎線/西新井駅 歩13分,東武大師線/大師前駅 歩23分,築58年,2階建,1階,2.8万円,-,2.8万円/-/-/-,ワンルーム,10m
6,豊和荘,賃貸アパート,東京都足立区梅島２,東武伊勢崎線/梅島駅 歩9分,東武伊勢崎線/西新井駅 歩13分,東武大師線/大師前駅 歩23分,築58年,2階建,1階,2.8万円,-,2.8万円/-/-/-,ワンルーム,10m
7,柳荘,賃貸アパート,東京都足立区千住曙町,東京メトロ千代田線/北千住駅 歩15分,京成本線/京成関屋駅 歩1分,東武伊勢崎線/牛田駅 歩1分,築47年,2階建,2階,2.8万円,-,2.8万円/2.8万円/-/-,ワンルーム,10m
8,柳川荘,賃貸アパート,東京都足立区千住曙町,東京メトロ千代田線/北千住駅 歩15分,東武伊勢崎線/牛田駅 歩1分,京成本線/京成関屋駅 歩1分,築47年,2階建,1階,2.8万円,-,2.8万円/2.8万円/-/-,ワンルーム,10m
9,柳川荘,賃貸アパート,東京都足立区千住曙町,東京メトロ千代田線/北千住駅 歩15分,東武伊勢崎線/牛田駅 歩1分,京成本線/京成関屋駅 歩1分,築47年,2階建,2階,2.8万円,-,2.8万円/2.8万円/-/-,ワンルーム,10m
10,ＪＲ常磐線 北千住駅 2階建 築59年,賃貸アパート,東京都足立区千住曙町,ＪＲ常磐線/北千住駅 歩13分,京成本線/京成関屋駅 歩4分,東武伊勢崎線/牛田駅 歩6分,築59年,2階建,1階,2.8万円,-,2.8万円/2.8万円/-/-,ワンルーム,10m
11,ゲストハウス荒川墨田リバーサイド,賃貸マンション,東京都足立区宮城２,ＪＲ京浜東北線/王子駅 歩30分,日暮里・舎人ライナー/扇大橋駅 歩18分,都電荒川線/小台駅 歩21分,築26年,4階建,4階,2.9万円,-,-/-/-/-,ワンルーム,8.06m
12,つくばエクスプレス 六町駅 5階建 築28年,賃貸マンション,東京都足立区一ツ家２,つくばエクスプレス/六町駅 歩10分,None,None,築28年,5階建,4階,2.9万円,-,-/-/-/-,ワンルーム,7.4m
13,つくばエクスプレス 六町駅 5階建 築28年,賃貸マンション,東京都足立区一ツ家２,つくばエクスプレス/六町駅 歩10分,None,None,築28年,5階建,4階,2.9万円,-,-/-/-/-,ワンルーム,7m
14,つくばエクスプレス 六町駅 5階建 築28年,賃貸マンション,東京都足立区一ツ家２,つくばエクスプレス/六町駅 歩10分,None,None,築28年,5階建,4階,2.9万円,-,-/-/-/-,ワンルーム,7m
15,東京メトロ千代田線 北千住駅 2階建 築41年,賃貸アパート,東京都足立区日ノ出町,東京メトロ千代田線/北千住駅 歩6分,None,None,築41年,2階建,2階,2.7万円,2250円,2.7万円/2.7万円/-/-,1K,16.2m
16,ヴィラコート梅田I,賃貸一戸建て,東京都足立区梅田４,東武伊勢崎線/梅島駅 歩11分,東武伊勢崎線/西新井駅 歩21分,東武伊勢崎線/五反野駅 歩23分,築44年,2階建,1階,3万円,-,3万円/3万円/-/-,2K,24.56m
17,ヴィラコート梅田I,賃貸一戸建て,東京都足立区梅田４,東武伊勢崎線/梅島駅 歩11分,東武伊勢崎線/西新井駅 歩21分,東武伊勢崎線/五反野駅 歩23分,築44年,2階建,1階,3万円,-,3万円/3万円/-/-,2DK,24.56m
18,東武伊勢崎線 梅島駅 2階建 築44年,賃貸アパート,東京都足立区梅田４,東武伊勢崎線/梅島駅 歩11分,東京メトロ千代田線/町屋駅 バス11分 (バス停)梅島第二小学校通り 歩1分,ＪＲ常磐線/北千住駅 バス8分 (バス停)西新井橋 歩9分,築44年,2階建,1階,3万円,-,3万円/3万円/-/-,2DK,24.56m
19,東武伊勢崎線 竹ノ塚駅 2階建 築46年,賃貸アパート,東京都足立区六月３,東武伊勢崎線/竹ノ塚駅 歩12分,東武伊勢崎線/西新井駅 歩16分,日暮里・舎人ライナー/谷在家駅 歩30分,築46年,2階建,2階,3万円,-,3万円/3万円/-/-,1K,20m
20,きむら荘,賃貸アパート,東京都足立区小台２,都電荒川線/小台駅 歩10分,日暮里・舎人ライナー/足立小台駅 歩13分,都電荒川線/荒川遊園地前駅 歩14分,築40年,2階建,1階,3万円,-,3万円/3万円/-/-,1K,19m
