,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
0,石井荘,賃貸アパート,東京都荒川区荒川４,東京メトロ千代田線/町屋駅 歩8分,京成本線/新三河島駅 歩5分,ＪＲ常磐線/三河島駅 歩8分,築47年,2階建,2階,2.2万円,500円,2.2万円/4.4万円/-/-,ワンルーム,10.4m
1,松井荘,賃貸アパート,東京都荒川区西尾久１,ＪＲ山手線/田端駅 歩10分,ＪＲ高崎線/尾久駅 歩11分,ＪＲ京浜東北線/西日暮里駅 歩18分,築58年,2階建,2階,2.3万円,2000円,-/2.3万円/-/-,ワンルーム,9.72m
2,松井荘,賃貸アパート,東京都荒川区西尾久１,ＪＲ山手線/田端駅 歩10分,ＪＲ高崎線/尾久駅 歩11分,ＪＲ京浜東北線/西日暮里駅 歩18分,築58年,2階建,2階,2.5万円,2000円,-/2.5万円/-/-,ワンルーム,9.72m
3,東京メトロ千代田線 町屋駅 2階建 築48年,賃貸アパート,東京都荒川区荒川２,東京メトロ千代田線/町屋駅 歩9分,ＪＲ常磐線/三河島駅 歩13分,京成本線/新三河島駅 歩13分,築48年,2階建,2階,2.3万円,2000円,-/-/-/-,ワンルーム,9.72m
4,ＬＳＢＰ荒川遊園,賃貸アパート,東京都荒川区西尾久５,ＪＲ高崎線/尾久駅 歩7分,都電荒川線/小台駅 歩6分,ＪＲ京浜東北線/田端駅 歩15分,築53年,2階建,1階,2.4万円,3000円,-/-/-/-,ワンルーム,5m
5,日暮里・舎人ライナー 熊野前駅 2階建 築51年,賃貸アパート,東京都荒川区西尾久３,日暮里・舎人ライナー/熊野前駅 歩7分,ＪＲ高崎線/尾久駅 歩17分,日暮里・舎人ライナー/足立小台駅 歩14分,築51年,2階建,2階,2.5万円,3000円,2.5万円/-/-/-,ワンルーム,12.38m
6,日暮里・舎人ライナー 熊野前駅 2階建 築51年,賃貸アパート,東京都荒川区西尾久３,日暮里・舎人ライナー/熊野前駅 歩7分,ＪＲ高崎線/尾久駅 歩17分,日暮里・舎人ライナー/足立小台駅 歩14分,築51年,2階建,2階,2.6万円,3000円,2.6万円/-/-/-,ワンルーム,12.38m
7,グリーンハウス,賃貸アパート,東京都荒川区西日暮里５,ＪＲ山手線/西日暮里駅 歩4分,ＪＲ山手線/日暮里駅 歩8分,京成本線/新三河島駅 歩11分,築57年,3階建,2階,2.3万円,5000円,-/-/-/-,ワンルーム,5m
8,グリーンハウス,賃貸アパート,東京都荒川区西日暮里５,ＪＲ山手線/西日暮里駅 歩4分,ＪＲ山手線/日暮里駅 歩8分,京成本線/新三河島駅 歩11分,築57年,3階建,2階,2.4万円,5000円,-/-/-/-,ワンルーム,5m
9,グリーンハウス,賃貸アパート,東京都荒川区西日暮里５,ＪＲ山手線/西日暮里駅 歩4分,ＪＲ山手線/日暮里駅 歩8分,京成本線/新三河島駅 歩11分,築57年,3階建,2階,2.7万円,5000円,-/-/-/-,ワンルーム,12m
10,グリーンハウス,賃貸アパート,東京都荒川区西日暮里５,ＪＲ山手線/西日暮里駅 歩4分,ＪＲ山手線/日暮里駅 歩8分,京成本線/新三河島駅 歩11分,築57年,3階建,1階,3.1万円,7000円,-/-/-/-,ワンルーム,10.01m
11,グリーンハウス,賃貸アパート,東京都荒川区西日暮里５,ＪＲ山手線/西日暮里駅 歩4分,ＪＲ山手線/日暮里駅 歩8分,京成本線/新三河島駅 歩11分,築57年,3階建,1階,3.7万円,5000円,-/-/-/-,ワンルーム,10.01m
12,ＪＲ山手線 田端駅 2階建 築51年,賃貸アパート,東京都荒川区西尾久３,ＪＲ山手線/田端駅 歩20分,都電荒川線/宮ノ前駅 歩2分,日暮里・舎人ライナー/熊野前駅 歩4分,築51年,2階建,2階,2.9万円,-,2.9万円/-/-/-,ワンルーム,12.38m
13,東京メトロ日比谷線 三ノ輪駅 2階建 築58年,賃貸アパート,東京都荒川区南千住１,東京メトロ日比谷線/三ノ輪駅 歩7分,東京メトロ日比谷線/南千住駅 歩13分,京成本線/千住大橋駅 歩19分,築58年,2階建,2階,2.8万円,1000円,2.8万円/-/-/-,ワンルーム,11.34m
14,長谷川荘,賃貸アパート,東京都荒川区南千住１,東京メトロ日比谷線/三ノ輪駅 歩5分,ＪＲ常磐線/南千住駅 歩12分,都電荒川線/荒川一中前駅 歩2分,築58年,2階建,2階,2.8万円,1000円,2.8万円/-/-/-,1K,10.01m
15,ＪＲ山手線 日暮里駅 2階建 築54年,賃貸その他,東京都荒川区東日暮里３,ＪＲ山手線/日暮里駅 歩15分,ＪＲ常磐線/三河島駅 歩2分,東京メトロ千代田線/町屋駅 歩17分,築54年,2階建,2階,2.6万円,3000円,2.6万円/2.6万円/-/-,ワンルーム,6.07m
16,日暮里・舎人ライナー 熊野前駅 2階建 築62年,賃貸アパート,東京都荒川区東尾久６,日暮里・舎人ライナー/熊野前駅 歩3分,都電荒川線/熊野前駅 歩3分,日暮里・舎人ライナー/赤土小学校前駅 歩10分,築62年,2階建,2階,3万円,-,3万円/-/-/-,ワンルーム,9m
17,東京メトロ日比谷線 三ノ輪駅 3階建 築41年,賃貸マンション,東京都荒川区東日暮里２,東京メトロ日比谷線/三ノ輪駅 歩8分,ＪＲ常磐線/三河島駅 歩10分,東京メトロ千代田線/町屋駅 歩20分,築41年,3階建,3階,2.8万円,2000円,3万円/3万円/-/-,ワンルーム,8.91m
18,東京メトロ日比谷線 南千住駅 4階建 築50年,賃貸マンション,東京都荒川区南千住５,東京メトロ日比谷線/南千住駅 歩7分,None,None,築50年,4階建,3階,3万円,-,-/-/-/-,ワンルーム,6.5m
19,東京メトロ日比谷線 南千住駅 4階建 築50年,賃貸マンション,東京都荒川区南千住５,東京メトロ日比谷線/南千住駅 歩7分,None,None,築50年,4階建,3階,3.3万円,-,-/-/-/-,ワンルーム,7.4m
20,東京メトロ日比谷線 南千住駅 4階建 築50年,賃貸マンション,東京都荒川区南千住５,東京メトロ日比谷線/南千住駅 歩7分,None,None,築50年,4階建,2階,3.5万円,-,-/-/-/-,ワンルーム,8m
21,東京メトロ日比谷線 南千住駅 4階建 築50年,賃貸マンション,東京都荒川区南千住５,東京メトロ日比谷線/南千住駅 歩7分,None,None,築50年,4階建,4階,3.5万円,-,-/-/-/-,ワンルーム,8m
22,東京メトロ千代田線 町屋駅 5階建 築50年,賃貸マンション,東京都荒川区荒川４,東京メトロ千代田線/町屋駅 歩8分,ＪＲ常磐線/三河島駅 歩5分,京成本線/新三河島駅 歩8分,築50年,5階建,3階,1.9万円,12000円,-/-/-/-,ワンルーム,20.36m
23,成恵苑,賃貸アパート,東京都荒川区東日暮里３,ＪＲ常磐線/三河島駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩12分,都電荒川線/荒川区役所前駅 歩8分,築31年,3階建,3階,2.9万円,3000円,2.9万円/2.9万円/-/-,ワンルーム,12.39m
24,成恵苑,賃貸アパート,東京都荒川区東日暮里３,ＪＲ常磐線/三河島駅 歩8分,東京メトロ日比谷線/三ノ輪駅 歩12分,都電荒川線/荒川区役所前駅 歩8分,築31年,3階建,3階,2.9万円,3000円,2.9万円/2.9万円/-/-,ワンルーム,11m
25,水林荘,賃貸アパート,東京都荒川区東尾久１,日暮里・舎人ライナー/赤土小学校前駅 歩4分,東京メトロ千代田線/町屋駅 歩8分,ＪＲ山手線/西日暮里駅 歩13分,築52年,2階建,2階,3万円,2000円,3万円/3万円/-/-,ワンルーム,12.15m
26,東京メトロ日比谷線 三ノ輪駅 2階建 築48年,賃貸アパート,東京都荒川区南千住５,東京メトロ日比谷線/三ノ輪駅 歩5分,つくばエクスプレス/南千住駅 歩6分,都電荒川線/三ノ輪橋駅 歩3分,築48年,2階建,2階,3万円,2300円,3万円/3万円/-/-,ワンルーム,9.72m
27,生田目荘,賃貸アパート,東京都荒川区西日暮里２,ＪＲ山手線/日暮里駅 歩5分,ＪＲ山手線/西日暮里駅 歩6分,ＪＲ常磐線/三河島駅 歩8分,築55年,2階建,2階,3万円,4000円,-/-/-/-,ワンルーム,10m
28,生田目荘,賃貸アパート,東京都荒川区西日暮里２,ＪＲ山手線/日暮里駅 歩5分,ＪＲ山手線/西日暮里駅 歩6分,ＪＲ常磐線/三河島駅 歩8分,築55年,2階建,2階,3万円,4000円,-/-/-/-,ワンルーム,10m
29,生田目荘,賃貸アパート,東京都荒川区西日暮里２,ＪＲ山手線/日暮里駅 歩5分,ＪＲ山手線/西日暮里駅 歩6分,ＪＲ常磐線/三河島駅 歩8分,築55年,2階建,2階,4万円,4000円,-/-/-/-,2K,18m
30,坂本荘,賃貸アパート,東京都荒川区西日暮里２,ＪＲ山手線/日暮里駅 歩5分,ＪＲ山手線/西日暮里駅 歩8分,ＪＲ常磐線/三河島駅 歩9分,築55年,2階建,2階,3.3万円,1000円,3.3万円/3.3万円/-/-,ワンルーム,11m
31,鈴木荘,賃貸アパート,東京都荒川区東尾久３,東京メトロ千代田線/町屋駅 歩8分,京成本線/町屋駅 歩9分,都電荒川線/東尾久三丁目駅 歩3分,築48年,2階建,2階,3.5万円,-,3.5万円/3.5万円/-/-,2DK,25.92m
32,鈴木荘,賃貸アパート,東京都荒川区東尾久３,東京メトロ千代田線/町屋駅 歩8分,京成本線/町屋駅 歩9分,都電荒川線/東尾久三丁目駅 歩3分,築48年,2階建,1階,5.1万円,-,5.1万円/5.1万円/-/-,2K,25.92m
33,行楽ビル,賃貸マンション,東京都荒川区町屋３,東京メトロ千代田線/町屋駅 歩8分,日暮里・舎人ライナー/熊野前駅 歩18分,都電荒川線/町屋駅前駅 歩8分,築53年,4階建,3階,3.5万円,-,3.5万円/3.5万円/-/-,ワンルーム,13.2m
34,行楽ビル,賃貸マンション,東京都荒川区町屋３,東京メトロ千代田線/町屋駅 歩8分,日暮里・舎人ライナー/熊野前駅 歩18分,都電荒川線/町屋駅前駅 歩8分,築53年,4階建,3階,3.9万円,-,3.9万円/3.9万円/-/-,ワンルーム,15.39m
