,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
0,東京メトロ千代田線 千駄木駅 2階建 築43年,賃貸アパート,東京都文京区千駄木１,東京メトロ千代田線/千駄木駅 歩7分,東京メトロ南北線/本駒込駅 歩8分,都営三田線/白山駅 歩10分,築43年,2階建,2階,2.6万円,2000円,-/-/-/-,ワンルーム,10m
1,大和荘,賃貸アパート,東京都文京区本駒込４,ＪＲ山手線/駒込駅 歩9分,ＪＲ京浜東北線/田端駅 歩11分,東京メトロ南北線/本駒込駅 歩17分,築57年,2階建,1階,2.5万円,3700円,2.5万円/2.5万円/-/-,ワンルーム,10.5m
2,大和荘,賃貸アパート,東京都文京区本駒込４,ＪＲ山手線/駒込駅 歩9分,ＪＲ京浜東北線/田端駅 歩11分,東京メトロ南北線/本駒込駅 歩17分,築57年,2階建,2階,2.5万円,3700円,2.5万円/2.5万円/-/-,ワンルーム,10.5m
3,東京メトロ千代田線 千駄木駅 2階建 築49年,賃貸アパート,東京都文京区千駄木３,東京メトロ千代田線/千駄木駅 歩6分,ＪＲ山手線/西日暮里駅 歩6分,東京メトロ南北線/本駒込駅 歩15分,築49年,2階建,2階,2.9万円,-,2.9万円/-/-/-,ワンルーム,12.38m
4,第一白樺荘,賃貸アパート,東京都文京区大塚２,東京メトロ有楽町線/護国寺駅 歩3分,東京メトロ丸ノ内線/新大塚駅 歩10分,東京メトロ丸ノ内線/茗荷谷駅 歩12分,築56年,2階建,2階,2.8万円,1000円,2.8万円/-/-/-,ワンルーム,10m
5,くれない荘,賃貸アパート,東京都文京区白山２,都営三田線/白山駅 歩5分,東京メトロ南北線/本駒込駅 歩12分,都営大江戸線/春日駅 歩11分,築54年,2階建,2階,2.7万円,2000円,2.7万円/2.7万円/-/-,ワンルーム,9.9m
6,くれない荘,賃貸アパート,東京都文京区白山２,都営三田線/白山駅 歩6分,東京メトロ南北線/東大前駅 歩12分,東京メトロ丸ノ内線/後楽園駅 歩17分,築54年,2階建,2階,2.7万円,2000円,2.7万円/2.7万円/-/-,ワンルーム,9.9m
7,高栄荘,賃貸アパート,東京都文京区千駄木５,東京メトロ南北線/本駒込駅 歩7分,東京メトロ千代田線/千駄木駅 歩10分,都営三田線/白山駅 歩11分,築58年,2階建,2階,2.8万円,1000円,2.8万円/2.8万円/-/-,ワンルーム,9.9m
8,ＪＲ山手線 巣鴨駅 2階建 築55年,賃貸アパート,東京都文京区千石４,ＪＲ山手線/巣鴨駅 歩7分,都営三田線/千石駅 歩5分,ＪＲ山手線/大塚駅 歩16分,築55年,2階建,2階,2.6万円,3000円,2.6万円/2.6万円/-/-,ワンルーム,8.7m
9,もたいアパート,賃貸アパート,東京都文京区千駄木５,東京メトロ千代田線/千駄木駅 歩9分,ＪＲ山手線/西日暮里駅 歩12分,東京メトロ南北線/本駒込駅 歩13分,築53年,2階建,2階,3万円,-,3万円/3万円/-/-,ワンルーム,11.34m
10,東京メトロ南北線 東大前駅 2階建 築38年,賃貸アパート,東京都文京区本郷６,東京メトロ南北線/東大前駅 歩6分,都営大江戸線/春日駅 歩9分,東京メトロ千代田線/根津駅 歩12分,築38年,2階建,2階,2.9万円,1000円,2.9万円/2.9万円/-/-,ワンルーム,9m
11,東京メトロ千代田線 千駄木駅 2階建 築43年,賃貸アパート,東京都文京区千駄木２,東京メトロ千代田線/千駄木駅 歩2分,ＪＲ山手線/日暮里駅 歩11分,None,築43年,2階建,2階,3万円,1000円,3万円/3万円/-/-,ワンルーム,14.5m
12,野口荘,賃貸アパート,東京都文京区白山２,都営三田線/春日駅 歩8分,東京メトロ南北線/後楽園駅 歩9分,都営三田線/白山駅 歩10分,築58年,3階建,2階,3万円,2000円,3万円/3万円/-/-,2K,18.15m
13,野口荘,賃貸アパート,東京都文京区白山２,都営三田線/春日駅 歩8分,東京メトロ南北線/後楽園駅 歩9分,都営三田線/白山駅 歩10分,築58年,3階建,2階,3.5万円,2000円,-/3.5万円/-/-,2K,13.2m
14,東京メトロ東西線 早稲田駅 1階建 築46年,賃貸アパート,東京都文京区関口１,東京メトロ東西線/早稲田駅 歩9分,東京メトロ有楽町線/江戸川橋駅 歩12分,都電荒川線/早稲田駅 歩7分,築46年,1階建,2階,3万円,2000円,3万円/3万円/-/-,ワンルーム,10m
15,東京メトロ東西線 早稲田駅 1階建 築46年,賃貸アパート,東京都文京区関口１,東京メトロ東西線/早稲田駅 歩9分,東京メトロ有楽町線/江戸川橋駅 歩12分,都電荒川線/早稲田駅 歩7分,築46年,1階建,1階,3万円,2000円,3万円/3万円/-/-,ワンルーム,9.9m
16,東京メトロ副都心線 雑司が谷駅 2階建 築45年,賃貸アパート,東京都文京区目白台１,東京メトロ副都心線/雑司が谷駅 歩11分,東京メトロ有楽町線/護国寺駅 歩15分,東京メトロ東西線/早稲田駅 歩15分,築45年,2階建,2階,2.95万円,2500円,2.95万円/2.95万円/-/-,ワンルーム,10m
17,門間アパ－ト,賃貸アパート,東京都文京区本駒込５,ＪＲ山手線/駒込駅 歩7分,都営三田線/千石駅 歩13分,東京メトロ南北線/本駒込駅 歩14分,築62年,2階建,2階,3万円,2500円,3万円/3万円/-/-,ワンルーム,12m
18,矢崎荘,賃貸アパート,東京都文京区千石３,ＪＲ山手線/巣鴨駅 歩12分,都営三田線/千石駅 歩5分,ＪＲ山手線/駒込駅 歩17分,築53年,2階建,2階,3.4万円,-,-/-/-/-,ワンルーム,12.3m
19,大橋荘,賃貸アパート,東京都文京区本郷５,都営三田線/春日駅 歩7分,東京メトロ丸ノ内線/本郷三丁目駅 歩10分,東京メトロ丸ノ内線/後楽園駅 歩12分,築59年,2階建,2階,3万円,4000円,6万円/3万円/-/-,ワンルーム,8m
20,桜荘,賃貸アパート,東京都文京区大塚６,東京メトロ丸ノ内線/新大塚駅 歩8分,都電荒川線/向原駅 歩9分,東京メトロ有楽町線/護国寺駅 歩11分,築39年,2階建,2階,3.5万円,-,-/3.5万円/-/-,ワンルーム,14m
21,東京メトロ南北線 本駒込駅 2階建 築49年,賃貸アパート,東京都文京区白山４,東京メトロ南北線/本駒込駅 歩14分,都営三田線/白山駅 歩8分,都営三田線/千石駅 歩13分,築49年,2階建,1階,3.3万円,2000円,3.3万円/3.3万円/-/-,ワンルーム,12.32m
22,茗荷谷アパート,賃貸アパート,東京都文京区千石２,東京メトロ丸ノ内線/茗荷谷駅 歩5分,都営三田線/千石駅 歩15分,東京メトロ丸ノ内線/新大塚駅 歩16分,築59年,2階建,2階,3.3万円,2000円,3.3万円/3.3万円/-/-,ワンルーム,10m
23,第２白樺荘,賃貸アパート,東京都文京区大塚２,東京メトロ有楽町線/護国寺駅 歩3分,東京メトロ丸ノ内線/新大塚駅 歩9分,東京メトロ丸ノ内線/茗荷谷駅 歩13分,築55年,2階建,2階,3.5万円,1000円,3.5万円/-/-/-,ワンルーム,13m
24,五月荘,賃貸アパート,東京都文京区白山４,都営三田線/白山駅 歩6分,東京メトロ南北線/本駒込駅 歩11分,東京メトロ丸ノ内線/茗荷谷駅 歩19分,築42年,2階建,2階,3.4万円,2000円,3.4万円/3.4万円/-/-,ワンルーム,12.38m
25,さつき荘,賃貸アパート,東京都文京区白山４,都営三田線/白山駅 歩5分,都営三田線/千石駅 歩11分,東京メトロ南北線/本駒込駅 歩12分,築49年,2階建,2階,3.4万円,2000円,3.4万円/3.4万円/-/-,ワンルーム,12.3m
26,増田アパ－ト,賃貸アパート,東京都文京区本郷１,都営三田線/春日駅 歩3分,東京メトロ丸ノ内線/後楽園駅 歩5分,ＪＲ中央線/水道橋駅 歩5分,築62年,2階建,2階,3.7万円,-,3.7万円/3.7万円/-/-,ワンルーム,13m
27,トミヤＡＰ,賃貸アパート,東京都文京区本郷５,都営大江戸線/本郷三丁目駅 歩3分,都営三田線/春日駅 歩9分,東京メトロ南北線/東大前駅 歩13分,築54年,2階建,1階,3.5万円,2000円,3.5万円/3.5万円/-/-,ワンルーム,11.55m
28,アパートメント小石川植物園,賃貸その他,東京都文京区白山３,東京メトロ丸ノ内線/茗荷谷駅 歩8分,都営三田線/千石駅 歩16分,None,築56年,2階建,2階,3.5万円,3000円,3.5万円/3.5万円/-/3.5万円,ワンルーム,10m
29,ヴァーフェルハウス,賃貸マンション,東京都文京区本駒込５,ＪＲ山手線/駒込駅 歩8分,東京メトロ南北線/駒込駅 歩8分,ＪＲ山手線/田端駅 歩15分,築11年,5階建,2階,3.1万円,8000円,-/-/-/-,ワンルーム,3.92m
30,ヴァーフェルハウス本駒込,賃貸マンション,東京都文京区本駒込５,ＪＲ山手線/駒込駅 歩7分,ＪＲ山手線/田端駅 歩15分,都営三田線/千石駅 歩12分,築11年,5階建,2階,3.1万円,8000円,-/-/-/-,ワンルーム,3.92m
31,ＪＲ山手線 駒込駅 5階建 築11年,賃貸マンション,東京都文京区本駒込５,ＪＲ山手線/駒込駅 歩8分,都営三田線/千石駅 歩12分,ＪＲ京浜東北線/田端駅 歩11分,築11年,5階建,5階,3.1万円,8000円,-/-/-/-,ワンルーム,3.4m
32,Ｎ・本郷荘,賃貸アパート,東京都文京区本郷６,東京メトロ丸ノ内線/本郷三丁目駅 歩7分,東京メトロ南北線/東大前駅 歩5分,都営三田線/春日駅 歩9分,築58年,2階建,2階,3.8万円,1500円,3.8万円/3.8万円/-/-,ワンルーム,13m
33,東京メトロ有楽町線 護国寺駅 2階建 築38年,賃貸アパート,東京都文京区目白台２,東京メトロ有楽町線/護国寺駅 歩5分,東京メトロ副都心線/雑司が谷駅 歩15分,ＪＲ山手線/池袋駅 歩23分,築38年,2階建,2階,3.7万円,3000円,3.7万円/-/-/-,1K,25m
34,大森荘,賃貸アパート,東京都文京区水道１,東京メトロ丸ノ内線/後楽園駅 歩13分,東京メトロ有楽町線/江戸川橋駅 歩12分,東京メトロ東西線/飯田橋駅 歩12分,築43年,2階建,1階,4万円,-,4万円/4万円/-/-,1K,17.19m
35,宮本アパート,賃貸アパート,東京都文京区根津２,東京メトロ千代田線/根津駅 歩1分,東京メトロ南北線/東大前駅 歩11分,東京メトロ千代田線/千駄木駅 歩10分,築63年,2階建,2階,4万円,-,4万円/4万円/-/-,ワンルーム,12m
36,宮本アパート,賃貸アパート,東京都文京区根津２,東京メトロ千代田線/根津駅 歩1分,東京メトロ南北線/東大前駅 歩11分,東京メトロ千代田線/千駄木駅 歩10分,築63年,2階建,2階,4.5万円,-,4.5万円/4.5万円/-/-,ワンルーム,13m
37,都営三田線 白山駅 5階建 築25年,賃貸アパート,東京都文京区白山１,都営三田線/白山駅 歩4分,東京メトロ南北線/本駒込駅 歩8分,東京メトロ南北線/東大前駅 歩9分,築25年,5階建,4階,3.2万円,8000円,-/-/-/-,ワンルーム,11m
38,ＴＣＲＥ文京白山,賃貸マンション,東京都文京区白山１,都営三田線/白山駅 歩4分,東京メトロ南北線/本駒込駅 歩8分,東京メトロ南北線/東大前駅 歩8分,築25年,5階建,3階,3.2万円,8000円,-/-/3.2万円/-,ワンルーム,9.8m
39,ＴＣＲＥ文京白山,賃貸マンション,東京都文京区白山１,都営三田線/白山駅 歩4分,東京メトロ南北線/本駒込駅 歩8分,東京メトロ南北線/東大前駅 歩8分,築25年,5階建,4階,3.2万円,8000円,-/-/3.2万円/-,ワンルーム,9.8m
40,OTOMIGUS目白台,賃貸マンション,東京都文京区目白台２,東京メトロ有楽町線/護国寺駅 歩5分,東京メトロ有楽町線/東池袋駅 歩12分,ＪＲ山手線/池袋駅 歩23分,築47年,4階建,4階,3.6万円,5000円,-/-/-/-,ワンルーム,8m
41,OTOMIGUS目白台,賃貸マンション,東京都文京区目白台２,東京メトロ有楽町線/護国寺駅 歩5分,東京メトロ有楽町線/東池袋駅 歩12分,ＪＲ山手線/池袋駅 歩23分,築47年,4階建,3階,3.8万円,5000円,-/-/-/-,ワンルーム,9.7m
42,山田荘,賃貸アパート,東京都文京区大塚６,東京メトロ丸ノ内線/新大塚駅 歩9分,東京メトロ有楽町線/東池袋駅 歩9分,都電荒川線/向原駅 歩7分,築47年,2階建,1階,4.2万円,-,4.2万円/4.2万円/-/-,1K,20.66m
43,山田荘,賃貸アパート,東京都文京区大塚６,東京メトロ丸ノ内線/新大塚駅 歩9分,東京メトロ有楽町線/東池袋駅 歩9分,都電荒川線/向原駅 歩7分,築47年,2階建,2階,4.3万円,-,4.3万円/4.3万円/-/-,1K,20.66m
44,東京メトロ南北線 本駒込駅 2階建 築39年,賃貸アパート,東京都文京区千駄木５,東京メトロ南北線/本駒込駅 歩7分,東京メトロ千代田線/千駄木駅 歩10分,都営三田線/白山駅 歩13分,築39年,2階建,1階,4万円,2000円,4万円/-/-/-,1K,18m
45,吉澤荘,賃貸アパート,東京都文京区関口１,東京メトロ有楽町線/江戸川橋駅 歩2分,東京メトロ東西線/神楽坂駅 歩8分,東京メトロ有楽町線/飯田橋駅 歩18分,築44年,2階建,2階,3.9万円,3000円,3.9万円/3.9万円/-/-,ワンルーム,13m
46,吉澤荘,賃貸アパート,東京都文京区関口１,東京メトロ有楽町線/江戸川橋駅 歩2分,東京メトロ東西線/神楽坂駅 歩8分,東京メトロ有楽町線/飯田橋駅 歩18分,築44年,2階建,2階,3.9万円,3000円,3.9万円/3.9万円/-/-,ワンルーム,13m
47,吉澤荘,賃貸アパート,東京都文京区関口１,東京メトロ有楽町線/江戸川橋駅 歩2分,東京メトロ東西線/神楽坂駅 歩8分,東京メトロ有楽町線/飯田橋駅 歩18分,築44年,2階建,2階,3.9万円,3000円,3.9万円/3.9万円/-/-,ワンルーム,13m
48,ＪＲ山手線 池袋駅 2階建 築50年,賃貸アパート,東京都文京区大塚６,ＪＲ山手線/池袋駅 歩14分,東京メトロ有楽町線/東池袋駅 歩4分,東京メトロ丸ノ内線/新大塚駅 歩11分,築50年,2階建,2階,2.95万円,13500円,-/-/-/-,ワンルーム,4.65m
49,都営三田線 春日駅 2階建 築52年,賃貸アパート,東京都文京区本郷５,都営三田線/春日駅 歩10分,東京メトロ丸ノ内線/本郷三丁目駅 歩9分,都営大江戸線/本郷三丁目駅 歩9分,築52年,2階建,2階,4.5万円,-,9万円/4.5万円/-/-,ワンルーム,14m
50,東京メトロ丸ノ内線 新大塚駅 2階建 築45年,賃貸アパート,東京都文京区大塚６,東京メトロ丸ノ内線/新大塚駅 歩7分,ＪＲ山手線/大塚駅 歩10分,東京メトロ有楽町線/東池袋駅 歩8分,築45年,2階建,2階,4.5万円,1000円,4.5万円/4.5万円/-/-,ワンルーム,13.2m
51,生西寺学寮　興学舎,賃貸アパート,東京都文京区小日向１,東京メトロ丸ノ内線/茗荷谷駅 歩11分,東京メトロ有楽町線/江戸川橋駅 歩8分,東京メトロ東西線/神楽坂駅 歩15分,築46年,2階建,2階,4.2万円,5000円,-/7万円/-/-,ワンルーム,12.96m
52,生西寺学寮　興学舎,賃貸アパート,東京都文京区小日向１,東京メトロ丸ノ内線/茗荷谷駅 歩11分,東京メトロ有楽町線/江戸川橋駅 歩8分,東京メトロ東西線/神楽坂駅 歩15分,築46年,2階建,2階,4.2万円,5000円,-/7万円/-/-,ワンルーム,12.96m
53,生西寺学寮　興学舎,賃貸アパート,東京都文京区小日向１,東京メトロ丸ノ内線/茗荷谷駅 歩11分,東京メトロ有楽町線/江戸川橋駅 歩8分,東京メトロ東西線/神楽坂駅 歩15分,築46年,2階建,1階,4.5万円,5000円,-/7万円/-/-,ワンルーム,12.96m
54,東京メトロ有楽町線 江戸川橋駅 2階建 築46年,賃貸アパート,東京都文京区小日向１,東京メトロ有楽町線/江戸川橋駅 歩8分,東京メトロ丸ノ内線/茗荷谷駅 歩11分,東京メトロ東西線/神楽坂駅 歩14分,築46年,2階建,1階,4.2万円,5000円,-/7万円/-/-,ワンルーム,12.96m
55,都営三田線 千石駅 4階建 築22年,賃貸マンション,東京都文京区白山４,都営三田線/千石駅 歩9分,都営三田線/白山駅 歩10分,東京メトロ南北線/本駒込駅 歩14分,築22年,4階建,1階,4万円,8000円,4万円/4万円/-/-,ワンルーム,32m
56,東京メトロ南北線 本駒込駅 2階建 築43年,賃貸アパート,東京都文京区本駒込３,東京メトロ南北線/本駒込駅 歩4分,都営三田線/白山駅 歩9分,東京メトロ千代田線/千駄木駅 歩16分,築43年,2階建,2階,4.8万円,-,4.8万円/4.8万円/-/-,2K,23.1m
57,メゾン・ド・ネージュ,賃貸マンション,東京都文京区白山２,都営三田線/白山駅 歩10分,東京メトロ丸ノ内線/後楽園駅 歩12分,都営大江戸線/春日駅 歩11分,築35年,5階建,1階,4.9万円,-,4.9万円/-/-/-,ワンルーム,12.6m
58,メゾン・ド・ネージュ,賃貸マンション,東京都文京区白山２,都営三田線/白山駅 歩10分,東京メトロ丸ノ内線/後楽園駅 歩12分,都営大江戸線/春日駅 歩11分,築35年,5階建,1階,4.9万円,5000円,4.9万円/-/-/-,ワンルーム,12.6m
59,メゾン・ド・ネージュ,賃貸マンション,東京都文京区白山２,都営三田線/白山駅 歩10分,東京メトロ丸ノ内線/後楽園駅 歩12分,都営大江戸線/春日駅 歩11分,築35年,5階建,4階,5.3万円,5000円,5.3万円/-/-/-,ワンルーム,15.75m
60,キヤマアパート,賃貸アパート,東京都文京区後楽２,ＪＲ中央線/飯田橋駅 歩10分,東京メトロ東西線/神楽坂駅 歩18分,東京メトロ南北線/後楽園駅 歩9分,築49年,2階建,2階,4.8万円,1500円,4.8万円/4.8万円/-/-,ワンルーム,14.18m
61,ローズハイツ長谷川,賃貸アパート,東京都文京区本駒込５,ＪＲ山手線/駒込駅 歩5分,東京メトロ南北線/駒込駅 歩7分,ＪＲ山手線/田端駅 歩13分,築55年,2階建,2階,5万円,-,5万円/-/-/-,ワンルーム,15.78m
62,ローズハイツ長谷川,賃貸アパート,東京都文京区本駒込５,ＪＲ山手線/駒込駅 歩5分,東京メトロ南北線/駒込駅 歩7分,ＪＲ山手線/田端駅 歩13分,築55年,2階建,2階,5.9万円,-,5.9万円/-/-/-,1DK,25m
63,中澤アパート,賃貸アパート,東京都文京区本駒込３,ＪＲ山手線/駒込駅 歩15分,東京メトロ南北線/本駒込駅 歩2分,都営三田線/千石駅 歩14分,築43年,2階建,2階,4.8万円,2000円,4.8万円/4.8万円/-/-,2K,23.1m
64,東京メトロ有楽町線 護国寺駅 2階建 築46年,賃貸アパート,東京都文京区目白台２,東京メトロ有楽町線/護国寺駅 歩10分,東京メトロ副都心線/雑司が谷駅 歩12分,None,築46年,2階建,1階,4.8万円,2000円,4.8万円/4.8万円/-/-,1K,22m
65,くまつ荘,賃貸アパート,東京都文京区目白台２,東京メトロ有楽町線/護国寺駅 歩10分,東京メトロ有楽町線/江戸川橋駅 歩15分,東京メトロ副都心線/雑司が谷駅 歩10分,築46年,2階建,1階,4.8万円,2000円,4.8万円/-/-/-,1K,19m
66,喜春マンション,賃貸マンション,東京都文京区大塚５,東京メトロ有楽町線/護国寺駅 歩6分,東京メトロ丸ノ内線/新大塚駅 歩8分,ＪＲ山手線/大塚駅 歩14分,築40年,3階建,2階,5万円,-,5万円/5万円/-/-,1K,18.26m
67,喜春マンション,賃貸マンション,東京都文京区大塚５,東京メトロ有楽町線/護国寺駅 歩6分,東京メトロ丸ノ内線/新大塚駅 歩8分,ＪＲ山手線/大塚駅 歩14分,築40年,3階建,2階,6.2万円,-,6.2万円/6.2万円/-/-,1K,17.82m
68,東京メトロ千代田線 湯島駅 2階建 築57年,賃貸アパート,東京都文京区湯島４,東京メトロ千代田線/湯島駅 歩5分,東京メトロ丸ノ内線/本郷三丁目駅 歩6分,東京メトロ銀座線/上野広小路駅 歩11分,築57年,2階建,1階,5万円,-,5万円/5万円/-/-,2K,18.26m
69,東京メトロ丸ノ内線 新大塚駅 2階建 築20年,賃貸アパート,東京都文京区大塚６,東京メトロ丸ノ内線/新大塚駅 歩3分,ＪＲ山手線/大塚駅 歩8分,東京メトロ有楽町線/東池袋駅 歩11分,築20年,2階建,2階,5万円,-,5万円/5万円/-/-,ワンルーム,17m
