,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
0,東京メトロ東西線 九段下駅 2階建 築6年,賃貸アパート,東京都千代田区九段南１,東京メトロ東西線/九段下駅 歩1分,東京メトロ半蔵門線/神保町駅 歩10分,東京メトロ東西線/竹橋駅 歩10分,築6年,2階建,1階,4.7万円,-,-/-/-/-,ワンルーム,4.33m
1,La Maison 神田,賃貸マンション,東京都千代田区外神田２,ＪＲ山手線/秋葉原駅 歩7分,東京メトロ銀座線/末広町駅 歩5分,東京メトロ千代田線/湯島駅 歩6分,築47年,5階建,5階,5.6万円,7000円,-/-/-/-,ワンルーム,9.72m
2,La Maison 神田,賃貸マンション,東京都千代田区外神田２,ＪＲ山手線/秋葉原駅 歩7分,東京メトロ銀座線/末広町駅 歩5分,東京メトロ千代田線/湯島駅 歩6分,築47年,5階建,5階,5.7万円,7000円,-/-/-/-,ワンルーム,9.72m
3,番町ハイム,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩2分,ＪＲ中央線/市ヶ谷駅 歩8分,東京メトロ半蔵門線/半蔵門駅 歩5分,築46年,11階建,3階,5.8万円,7000円,5.8万円/5.8万円/-/-,ワンルーム,15.37m
4,番町ハイム,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩2分,ＪＲ中央線/市ヶ谷駅 歩8分,東京メトロ半蔵門線/半蔵門駅 歩5分,築46年,11階建,11階,6.2万円,10000円,6.2万円/6.2万円/-/-,ワンルーム,15.37m
5,番町ハイム,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩2分,ＪＲ中央線/市ヶ谷駅 歩8分,東京メトロ半蔵門線/半蔵門駅 歩5分,築46年,11階建,8階,6.9万円,6000円,6.9万円/6.9万円/-/-,ワンルーム,21.31m
6,番町ハイム,賃貸マンション,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩2分,ＪＲ中央線/市ヶ谷駅 歩8分,東京メトロ半蔵門線/半蔵門駅 歩5分,築46年,11階建,6階,8万円,-,8万円/8万円/-/-,ワンルーム,18.27m
7,ライオンズマンション九段第2,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ヶ谷駅 歩10分,東京メトロ半蔵門線/半蔵門駅 歩9分,東京メトロ東西線/九段下駅 歩9分,築37年,8階建,2階,6.5万円,-,6.5万円/6.5万円/-/-,ワンルーム,18.72m
8,ライオンズマンション九段第2,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ヶ谷駅 歩10分,東京メトロ半蔵門線/半蔵門駅 歩9分,東京メトロ東西線/九段下駅 歩9分,築37年,8階建,5階,6.8万円,-,6.8万円/6.8万円/-/-,ワンルーム,18.44m
9,ＪＲ中央線 市ヶ谷駅 8階建 築37年,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ヶ谷駅 歩10分,東京メトロ半蔵門線/半蔵門駅 歩7分,東京メトロ東西線/九段下駅 歩11分,築37年,8階建,2階,6.5万円,-,6.5万円/6.5万円/-/-,ワンルーム,18.72m
