,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
0,むつみ荘,賃貸マンション,東京都中央区月島３,都営大江戸線/月島駅 歩5分,都営大江戸線/勝どき駅 歩8分,東京メトロ日比谷線/築地駅 歩20分,築48年,4階建,1階,4万円,-,4万円/-/-/-,1K,16m
1,むつみ荘,賃貸マンション,東京都中央区月島３,都営大江戸線/月島駅 歩5分,都営大江戸線/勝どき駅 歩8分,東京メトロ日比谷線/築地駅 歩20分,築48年,4階建,1階,4万円,-,4万円/-/-/-,1K,16m
2,ダイヤモンドレジデンス八丁堀,賃貸マンション,東京都中央区八丁堀２,東京メトロ日比谷線/八丁堀駅 歩3分,ＪＲ山手線/東京駅 歩12分,東京メトロ東西線/茅場町駅 歩12分,築60年,5階建,1階,5.4万円,3240円,5.4万円/-/-/5.4万円,ワンルーム,6.49m
3,ダイヤモンドレジデンス八丁堀,賃貸マンション,東京都中央区八丁堀２,東京メトロ日比谷線/八丁堀駅 歩3分,ＪＲ山手線/東京駅 歩12分,東京メトロ東西線/茅場町駅 歩12分,築60年,5階建,2階,5.4万円,3240円,5.4万円/-/-/-,ワンルーム,6.01m
4,ダイヤモンドレジデンス八丁堀,賃貸マンション,東京都中央区八丁堀２,東京メトロ日比谷線/八丁堀駅 歩3分,ＪＲ山手線/東京駅 歩12分,東京メトロ東西線/茅場町駅 歩12分,築60年,5階建,4階,5.4万円,3240円,-/-/-/-,ワンルーム,6.01m
5,ダイヤモンドレジデンス八丁堀,賃貸マンション,東京都中央区八丁堀２,東京メトロ日比谷線/八丁堀駅 歩3分,ＪＲ山手線/東京駅 歩12分,東京メトロ東西線/茅場町駅 歩12分,築60年,5階建,4階,5.72万円,3240円,5.72万円/-/-/-,ワンルーム,6.9m
6,ＪＲ京葉線 八丁堀駅 5階建 築60年,賃貸マンション,東京都中央区八丁堀２,ＪＲ京葉線/八丁堀駅 歩3分,東京メトロ東西線/茅場町駅 歩5分,ＪＲ山手線/東京駅 歩12分,築60年,5階建,3階,5.4万円,3240円,5.4万円/-/-/5.4万円,ワンルーム,6.01m
7,ＪＲ京葉線 八丁堀駅 5階建 築60年,賃貸マンション,東京都中央区八丁堀２,ＪＲ京葉線/八丁堀駅 歩3分,東京メトロ東西線/茅場町駅 歩5分,ＪＲ山手線/東京駅 歩12分,築60年,5階建,2階,5.4万円,3240円,5.4万円/-/-/-,ワンルーム,6.01m
8,Ｔ１東日本橋,賃貸マンション,東京都中央区東日本橋３,都営新宿線/馬喰横山駅 歩1分,ＪＲ総武線快速/馬喰町駅 歩1分,都営浅草線/東日本橋駅 歩1分,築46年,6階建,1階,5.7万円,2000円,-/-/-/-,ワンルーム,12.04m
9,Ｔ１東日本橋,賃貸マンション,東京都中央区東日本橋３,都営新宿線/馬喰横山駅 歩1分,ＪＲ総武線快速/馬喰町駅 歩1分,都営浅草線/東日本橋駅 歩1分,築46年,6階建,5階,5.8万円,2000円,-/-/-/-,ワンルーム,9.91m
10,都営新宿線 馬喰横山駅 6階建 築46年,賃貸マンション,東京都中央区東日本橋３,都営新宿線/馬喰横山駅 歩1分,ＪＲ総武線快速/馬喰町駅 歩1分,都営浅草線/東日本橋駅 歩1分,築46年,6階建,1階,5.8万円,2000円,-/-/-/-,ワンルーム,12.04m
11,都営浅草線 東日本橋駅 4階建 築51年,賃貸マンション,東京都中央区東日本橋２,都営浅草線/東日本橋駅 歩5分,ＪＲ総武線快速/馬喰町駅 歩6分,ＪＲ総武線/浅草橋駅 歩8分,築51年,4階建,4階,6.1万円,-,-/-/-/-,2K,33.05m
12,七瀬ビル,賃貸マンション,東京都中央区東日本橋２,都営浅草線/東日本橋駅 歩5分,ＪＲ総武線快速/馬喰町駅 歩6分,ＪＲ総武線/浅草橋駅 歩7分,築51年,4階建,4階,6.1万円,-,-/-/-/-,2K,33.05m
