,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
0,水光荘,賃貸アパート,東京都江戸川区平井５,ＪＲ総武線/平井駅 歩6分,東武亀戸線/東あずま駅 歩18分,ＪＲ総武線/新小岩駅 歩23分,築58年,2階建,1階,2.5万円,-,2.5万円/-/-/-,ワンルーム,9m
1,水光荘,賃貸アパート,東京都江戸川区平井５,ＪＲ総武線/平井駅 歩6分,東武亀戸線/東あずま駅 歩18分,ＪＲ総武線/新小岩駅 歩23分,築58年,2階建,2階,2.5万円,-,2.5万円/-/-/-,ワンルーム,9m
2,馬場荘,賃貸マンション,東京都江戸川区平井６,ＪＲ総武線/平井駅 歩4分,東武亀戸線/東あずま駅 歩12分,ＪＲ総武線/亀戸駅 歩28分,築46年,3階建,2階,2.8万円,500円,2.8万円/2.8万円/-/-,ワンルーム,12.96m
3,馬場荘,賃貸マンション,東京都江戸川区平井６,ＪＲ総武線/平井駅 歩4分,東武亀戸線/東あずま駅 歩12分,ＪＲ総武線/亀戸駅 歩28分,築46年,3階建,3階,3.5万円,500円,3.5万円/3.5万円/-/-,ワンルーム,16.5m
4,馬場荘,賃貸マンション,東京都江戸川区平井６,ＪＲ総武線/平井駅 歩4分,東武亀戸線/東あずま駅 歩12分,ＪＲ総武線/亀戸駅 歩28分,築46年,3階建,3階,3.8万円,500円,3.8万円/3.8万円/-/-,ワンルーム,16.5m
5,酒巻荘,賃貸アパート,東京都江戸川区平井２,ＪＲ総武線/平井駅 歩7分,None,None,築51年,2階建,2階,2.8万円,1500円,2.8万円/2.8万円/-/-,ワンルーム,9.91m
6,小林荘,賃貸アパート,東京都江戸川区西葛西１,東京メトロ東西線/西葛西駅 歩19分,None,None,築43年,2階建,2階,3万円,-,3万円/3万円/-/-,2K,23.1m
7,光山荘,賃貸アパート,東京都江戸川区平井１,ＪＲ総武線/平井駅 歩11分,東武亀戸線/亀戸水神駅 歩24分,都営新宿線/東大島駅 歩22分,築58年,2階建,2階,2.5万円,5000円,-/2.5万円/-/-,ワンルーム,9m
8,もみじ荘,賃貸アパート,東京都江戸川区平井４,ＪＲ総武線/平井駅 歩9分,東武亀戸線/亀戸水神駅 歩23分,都営新宿線/東大島駅 歩26分,築51年,2階建,1階,2.8万円,2400円,2.8万円/2.8万円/-/-,ワンルーム,9.91m
9,もみじ荘,賃貸アパート,東京都江戸川区平井４,ＪＲ総武線/平井駅 歩9分,東武亀戸線/亀戸水神駅 歩23分,都営新宿線/東大島駅 歩26分,築51年,2階建,2階,3.2万円,2400円,3.2万円/3.2万円/-/-,ワンルーム,8.67m
