,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
0,若葉荘,賃貸アパート,東京都板橋区上板橋２,東武東上線/上板橋駅 歩9分,東武東上線/東武練馬駅 歩12分,東武東上線/ときわ台駅 歩27分,築52年,2階建,1階,1.5万円,3500円,1.5万円/1.5万円/-/-,ワンルーム,6.48m
1,東京メトロ有楽町線 小竹向原駅 2階建 築39年,賃貸アパート,東京都板橋区大谷口２,東京メトロ有楽町線/小竹向原駅 歩10分,東京メトロ有楽町線/千川駅 歩11分,東武東上線/大山駅 歩15分,築39年,2階建,2階,2万円,1000円,2万円/2万円/-/-,ワンルーム,10m
2,やよい荘,賃貸アパート,東京都板橋区稲荷台,都営三田線/板橋本町駅 歩8分,ＪＲ埼京線/十条駅 歩17分,都営三田線/本蓮沼駅 歩18分,築44年,2階建,1階,2.3万円,-,-/-/-/-,ワンルーム,9m
3,小林荘,賃貸アパート,東京都板橋区熊野町,東武東上線/大山駅 歩12分,東京メトロ有楽町線/要町駅 歩17分,None,築56年,2階建,2階,2.4万円,3000円,2.4万円/-/-/-,1K,13m
4,東京メトロ有楽町線 小竹向原駅 2階建 築43年,賃貸アパート,東京都板橋区向原２,東京メトロ有楽町線/小竹向原駅 歩7分,西武池袋線/江古田駅 歩9分,None,築43年,2階建,2階,2.8万円,-,2.8万円/5.6万円/-/-,ワンルーム,15m
5,安楽荘,賃貸アパート,東京都板橋区成増２,東武東上線/成増駅 歩7分,東京メトロ有楽町線/地下鉄成増駅 歩7分,東京メトロ有楽町線/地下鉄赤塚駅 歩12分,築54年,2階建,1階,2.5万円,3000円,2.5万円/-/-/-,ワンルーム,10.8m
6,東武東上線 中板橋駅 2階建 築38年,賃貸アパート,東京都板橋区双葉町,東武東上線/中板橋駅 歩5分,都営三田線/板橋本町駅 歩11分,None,築38年,2階建,2階,2.7万円,1000円,2.7万円/2.7万円/-/-,ワンルーム,9.96m
7,内田荘,賃貸アパート,東京都板橋区上板橋１,東武東上線/上板橋駅 歩2分,東武東上線/ときわ台駅 歩16分,東京メトロ有楽町線/氷川台駅 歩22分,築56年,2階建,1階,2.6万円,2000円,2.6万円/2.6万円/-/-,ワンルーム,9.75m
8,東武東上線 大山駅 2階建 築53年,賃貸アパート,東京都板橋区大山町,東武東上線/大山駅 歩1分,都営三田線/板橋区役所前駅 歩13分,ＪＲ埼京線/板橋駅 歩23分,築53年,2階建,2階,2.5万円,3500円,2.5万円/2.5万円/-/-,ワンルーム,10m
9,東武東上線 下板橋駅 2階建 築46年,賃貸アパート,東京都板橋区板橋２,東武東上線/下板橋駅 歩4分,ＪＲ埼京線/板橋駅 歩7分,都営三田線/新板橋駅 歩8分,築46年,2階建,2階,2.8万円,1200円,2.8万円/2.8万円/-/-,ワンルーム,10m
10,都営三田線 高島平駅 2階建 築23年,賃貸その他,東京都板橋区高島平２,都営三田線/高島平駅 歩7分,東武東上線/東武練馬駅 歩25分,None,築23年,2階建,-,2.5万円,4500円,1.25万円/-/-/-,ワンルーム,11.57m
11,孝花荘,賃貸アパート,東京都板橋区大和町,都営三田線/板橋本町駅 歩2分,都営三田線/本蓮沼駅 歩11分,東武東上線/中板橋駅 歩18分,築59年,2階建,2階,2.7万円,2500円,2.7万円/2.7万円/-/-,ワンルーム,10m
12,ひかり荘,賃貸アパート,東京都板橋区上板橋３,東武東上線/上板橋駅 歩4分,None,None,築48年,2階建,1階,2.9万円,800円,2.9万円/2.9万円/-/-,ワンルーム,10.48m
13,奥野荘,賃貸アパート,東京都板橋区中台１,東武東上線/上板橋駅 歩9分,東武東上線/ときわ台駅 歩17分,None,築35年,2階建,1階,2.9万円,1000円,2.9万円/2.9万円/-/-,ワンルーム,12.4m
14,田沼荘,賃貸アパート,東京都板橋区清水町,都営三田線/板橋本町駅 歩3分,None,None,築28年,2階建,2階,3万円,-,3万円/3万円/-/-,ワンルーム,12m
15,駒崎マンション,賃貸マンション,東京都板橋区徳丸１,東武東上線/東武練馬駅 歩11分,None,None,築47年,5階建,2階,2.8万円,2000円,2.8万円/-/-/-,1K,10.01m
16,駒崎マンション,賃貸マンション,東京都板橋区徳丸１,東武東上線/東武練馬駅 歩11分,None,None,築47年,5階建,3階,2.8万円,2000円,2.8万円/-/-/-,1K,10.01m
17,東武東上線 中板橋駅 2階建 築41年,賃貸アパート,東京都板橋区双葉町,東武東上線/中板橋駅 歩5分,都営三田線/板橋本町駅 歩15分,東武東上線/ときわ台駅 歩16分,築41年,2階建,2階,2.7万円,3000円,2.7万円/2.7万円/-/-,ワンルーム,10m
18,東武東上線 東武練馬駅 5階建 築47年,賃貸マンション,東京都板橋区徳丸１,東武東上線/東武練馬駅 歩7分,都営三田線/西台駅 歩25分,None,築47年,5階建,3階,2.8万円,2000円,2.8万円/-/-/-,ワンルーム,9.9m
19,第一高野荘,賃貸アパート,東京都板橋区双葉町,東武東上線/中板橋駅 歩6分,都営三田線/板橋本町駅 歩14分,東武東上線/ときわ台駅 歩12分,築53年,2階建,2階,2.7万円,3000円,2.7万円/2.7万円/-/-,ワンルーム,9.72m
20,都営三田線 高島平駅 地下2地上6階建 築26年,賃貸マンション,東京都板橋区高島平８,都営三田線/高島平駅 歩3分,都営三田線/新高島平駅 歩12分,都営三田線/西台駅 歩18分,築26年,地下2地上6階建,5階,3万円,-,-/-/3万円/-,ワンルーム,6.6m
21,妙高荘,賃貸アパート,東京都板橋区稲荷台,ＪＲ埼京線/十条駅 歩15分,都営三田線/板橋本町駅 歩10分,None,築30年,2階建,2階,3万円,600円,-/-/-/-,2K,13m
22,妙高荘,賃貸アパート,東京都板橋区稲荷台,ＪＲ埼京線/十条駅 歩15分,都営三田線/板橋本町駅 歩10分,None,築30年,2階建,2階,3.5万円,-,3.5万円/3.5万円/-/-,ワンルーム,13.25m
23,都営三田線 板橋本町駅 2階建 築56年,賃貸アパート,東京都板橋区稲荷台,都営三田線/板橋本町駅 歩6分,ＪＲ埼京線/十条駅 歩18分,ＪＲ京浜東北線/東十条駅 歩23分,築56年,2階建,2階,3万円,600円,-/-/-/-,2K,13m
24,東武東上線 東武練馬駅 2階建 築43年,賃貸アパート,東京都板橋区西台３,東武東上線/東武練馬駅 歩20分,都営三田線/西台駅 歩20分,None,築43年,2階建,2階,3.1万円,-,3.1万円/3.1万円/-/-,1K,19.8m
25,東武東上線 中板橋駅 2階建 築48年,賃貸アパート,東京都板橋区弥生町,東武東上線/中板橋駅 歩6分,東武東上線/ときわ台駅 歩8分,東武東上線/大山駅 歩18分,築48年,2階建,1階,3万円,1000円,3万円/3万円/-/-,1K,16.2m
26,泰明荘,賃貸アパート,東京都板橋区常盤台３,東武東上線/ときわ台駅 歩7分,東武東上線/上板橋駅 歩12分,東武東上線/中板橋駅 歩18分,築57年,2階建,2階,3.1万円,-,3.1万円/3.1万円/-/-,ワンルーム,12.77m
27,プペル成増,賃貸その他,東京都板橋区赤塚５,東武東上線/成増駅 歩13分,東京メトロ有楽町線/地下鉄成増駅 歩17分,東京メトロ副都心線/地下鉄成増駅 歩17分,新築,2階建,1階,2.4万円,7000円,-/-/-/-,ワンルーム,7.25m
28,プペル成増,賃貸その他,東京都板橋区赤塚５,東武東上線/成増駅 歩13分,東京メトロ有楽町線/地下鉄成増駅 歩17分,東京メトロ副都心線/地下鉄成増駅 歩17分,新築,2階建,1階,2.4万円,7000円,-/-/-/-,ワンルーム,7.25m
29,プペル成増,賃貸その他,東京都板橋区赤塚５,東武東上線/成増駅 歩13分,東京メトロ有楽町線/地下鉄成増駅 歩17分,東京メトロ副都心線/地下鉄成増駅 歩17分,新築,2階建,1階,2.4万円,7000円,-/-/-/-,ワンルーム,7.25m
30,プペル成増,賃貸その他,東京都板橋区赤塚５,東武東上線/成増駅 歩13分,東京メトロ有楽町線/地下鉄成増駅 歩17分,東京メトロ副都心線/地下鉄成増駅 歩17分,新築,2階建,1階,2.4万円,7000円,-/-/-/-,ワンルーム,7.25m
31,プペル成増,賃貸その他,東京都板橋区赤塚５,東武東上線/成増駅 歩13分,東京メトロ有楽町線/地下鉄成増駅 歩17分,東京メトロ副都心線/地下鉄成増駅 歩17分,新築,2階建,1階,2.4万円,7000円,-/-/-/-,ワンルーム,7.25m
32,プペル成増,賃貸その他,東京都板橋区赤塚５,東武東上線/成増駅 歩13分,東京メトロ有楽町線/地下鉄成増駅 歩17分,東京メトロ副都心線/地下鉄成増駅 歩17分,新築,2階建,2階,2.9万円,6000円,-/-/-/-,ワンルーム,7.25m
33,プペル成増,賃貸その他,東京都板橋区赤塚５,東武東上線/成増駅 歩13分,東京メトロ有楽町線/地下鉄成増駅 歩17分,東京メトロ副都心線/地下鉄成増駅 歩17分,新築,2階建,2階,2.9万円,6000円,-/-/-/-,ワンルーム,7.25m
34,プペル成増,賃貸その他,東京都板橋区赤塚５,東武東上線/成増駅 歩13分,東京メトロ有楽町線/地下鉄成増駅 歩17分,東京メトロ副都心線/地下鉄成増駅 歩17分,新築,2階建,2階,2.9万円,6000円,-/-/-/-,ワンルーム,7.25m
35,プペル成増,賃貸その他,東京都板橋区赤塚５,東武東上線/成増駅 歩13分,東京メトロ有楽町線/地下鉄成増駅 歩17分,東京メトロ副都心線/地下鉄成増駅 歩17分,新築,2階建,2階,2.9万円,6000円,-/-/-/-,ワンルーム,7.25m
36,プペル成増,賃貸その他,東京都板橋区赤塚５,東武東上線/成増駅 歩13分,東京メトロ有楽町線/地下鉄成増駅 歩17分,東京メトロ副都心線/地下鉄成増駅 歩17分,新築,2階建,2階,2.9万円,6000円,-/-/-/-,ワンルーム,7.25m
37,プペル成増,賃貸その他,東京都板橋区赤塚５,東武東上線/成増駅 歩13分,東京メトロ有楽町線/地下鉄成増駅 歩17分,東京メトロ副都心線/地下鉄成増駅 歩17分,新築,2階建,2階,2.9万円,6000円,-/-/-/-,ワンルーム,7.25m
38,みどり荘,賃貸アパート,東京都板橋区前野町５,都営三田線/志村三丁目駅 歩13分,東武東上線/上板橋駅 歩14分,都営三田線/志村坂上駅 歩18分,築51年,2階建,2階,3.2万円,-,3.2万円/3.2万円/-/-,1K,16.2m
