,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
0,第2桜荘,賃貸アパート,東京都葛飾区西新小岩４,ＪＲ総武線快速/新小岩駅 歩8分,京成押上線/京成立石駅 歩28分,ＪＲ総武線/平井駅 歩30分,築56年,2階建,2階,2.5万円,1000円,2.5万円/-/-/-,1K,12.96m
1,第2桜荘,賃貸アパート,東京都葛飾区西新小岩４,ＪＲ総武線快速/新小岩駅 歩8分,京成押上線/京成立石駅 歩28分,ＪＲ総武線/平井駅 歩30分,築56年,2階建,2階,2.5万円,1000円,2.5万円/-/-/-,ワンルーム,12.96m
2,京成押上線 四ツ木駅 2階建 築35年,賃貸アパート,東京都葛飾区東四つ木４,京成押上線/四ツ木駅 歩7分,京成押上線/京成立石駅 歩15分,京成押上線/八広駅 歩21分,築35年,2階建,1階,2.5万円,1500円,2.5万円/-/-/-,ワンルーム,10m
3,武荘,賃貸アパート,東京都葛飾区宝町２,京成本線/お花茶屋駅 歩5分,京成本線/堀切菖蒲園駅 歩8分,京成押上線/京成立石駅 歩24分,築52年,2階建,2階,3万円,-,-/3万円/-/-,2K,30m
4,小菅１丁目アパート,賃貸アパート,東京都葛飾区小菅１,東武伊勢崎線/小菅駅 歩9分,ＪＲ常磐線/綾瀬駅 歩15分,東武伊勢崎線/五反野駅 歩21分,築50年,2階建,2階,3万円,-,3万円/-/-/-,1K,22.2m
5,寿荘,賃貸アパート,東京都葛飾区堀切７,東京メトロ千代田線/綾瀬駅 歩14分,京成本線/堀切菖蒲園駅 歩13分,京成本線/お花茶屋駅 歩14分,築37年,2階建,2階,3万円,-,-/-/-/-,1DK,22m
6,ＪＲ総武線快速 新小岩駅 2階建 築63年,賃貸アパート,東京都葛飾区新小岩３,ＪＲ総武線快速/新小岩駅 歩10分,None,None,築63年,2階建,1階,3万円,-,3万円/-/-/-,1K,14.58m
7,南雲荘,賃貸アパート,東京都葛飾区柴又１,京成金町線/柴又駅 歩6分,ＪＲ常磐線/金町駅 歩20分,京成本線/京成高砂駅 歩9分,築63年,2階建,1階,3万円,1000円,-/-/-/-,1K,18.15m
8,吉野荘,賃貸アパート,東京都葛飾区堀切２,京成本線/堀切菖蒲園駅 歩6分,東武伊勢崎線/堀切駅 歩14分,京成押上線/四ツ木駅 歩23分,築48年,2階建,2階,3万円,1500円,-/-/-/-,1K,23.1m
9,第一柴田荘,賃貸アパート,東京都葛飾区新小岩３,ＪＲ総武線/新小岩駅 歩9分,None,None,築55年,2階建,2階,3万円,1500円,-/-/-/-,ワンルーム,11m
10,栂池荘,賃貸アパート,東京都葛飾区新小岩３,ＪＲ総武線快速/新小岩駅 歩14分,None,None,築43年,2階建,2階,3.2万円,-,3.2万円/-/-/-,2K,24.75m
11,栂池荘,賃貸アパート,東京都葛飾区新小岩３,ＪＲ総武線快速/新小岩駅 歩14分,None,None,築43年,2階建,1階,3.3万円,-,3.3万円/-/-/-,2K,24.75m
12,ＮＯＡＲＫ鎌倉３丁目III,賃貸アパート,東京都葛飾区鎌倉３,北総線/新柴又駅 歩8分,成田スカイアクセス/京成高砂駅 歩12分,京成金町線/柴又駅 歩15分,築2年,2階建,1階,3.2万円,-,-/-/-/-,ワンルーム,7.45m
13,ＮＯＡＲＫ鎌倉３丁目III,賃貸アパート,東京都葛飾区鎌倉３,北総線/新柴又駅 歩8分,成田スカイアクセス/京成高砂駅 歩12分,京成金町線/柴又駅 歩15分,築2年,2階建,1階,3.2万円,-,-/-/-/-,ワンルーム,7.45m
14,ＮＯＡＲＫ鎌倉３丁目III,賃貸アパート,東京都葛飾区鎌倉３,北総線/新柴又駅 歩8分,成田スカイアクセス/京成高砂駅 歩12分,京成金町線/柴又駅 歩15分,築2年,2階建,2階,3.2万円,-,-/-/-/-,ワンルーム,7.45m
15,ＮＯＡＲＫ鎌倉３丁目III,賃貸アパート,東京都葛飾区鎌倉３,北総線/新柴又駅 歩8分,成田スカイアクセス/京成高砂駅 歩12分,京成金町線/柴又駅 歩15分,築2年,2階建,2階,3.2万円,-,-/-/-/-,ワンルーム,7.25m
16,ＮＯＡＲＫ鎌倉３丁目III,賃貸アパート,東京都葛飾区鎌倉３,北総線/新柴又駅 歩8分,成田スカイアクセス/京成高砂駅 歩12分,京成金町線/柴又駅 歩15分,築2年,2階建,1階,3.2万円,-,-/-/-/-,ワンルーム,7.25m
17,ＮＯＡＲＫ鎌倉３丁目III,賃貸アパート,東京都葛飾区鎌倉３,北総線/新柴又駅 歩8分,成田スカイアクセス/京成高砂駅 歩12分,京成金町線/柴又駅 歩15分,築2年,2階建,2階,3.2万円,-,-/-/-/-,ワンルーム,7.25m
18,ＮＯＡＲＫ鎌倉３丁目III,賃貸アパート,東京都葛飾区鎌倉３,北総線/新柴又駅 歩8分,成田スカイアクセス/京成高砂駅 歩12分,京成金町線/柴又駅 歩15分,築2年,2階建,1階,3.2万円,-,-/-/-/-,ワンルーム,7.25m
19,ＮＯＡＲＫ鎌倉３丁目III,賃貸アパート,東京都葛飾区鎌倉３,北総線/新柴又駅 歩8分,成田スカイアクセス/京成高砂駅 歩12分,京成金町線/柴又駅 歩15分,築2年,2階建,1階,3.2万円,-,-/-/-/-,ワンルーム,7.25m
20,京成本線 堀切菖蒲園駅 3階建 新築,賃貸その他,東京都葛飾区堀切６,京成本線/堀切菖蒲園駅 歩10分,ＪＲ常磐線/綾瀬駅 歩18分,京成本線/お花茶屋駅 歩20分,新築,3階建,1階,2.3万円,11000円,2.3万円/-/-/-,ワンルーム,4.96m
21,第二かよう荘,賃貸アパート,東京都葛飾区東堀切１,京成本線/お花茶屋駅 歩5分,京成本線/堀切菖蒲園駅 歩13分,東京メトロ千代田線/綾瀬駅 歩31分,築46年,2階建,2階,3.5万円,-,3.5万円/3.5万円/-/-,2K,29.75m
22,第二かよう荘,賃貸アパート,東京都葛飾区東堀切１,京成本線/お花茶屋駅 歩5分,京成本線/堀切菖蒲園駅 歩13分,東京メトロ千代田線/綾瀬駅 歩31分,築46年,2階建,2階,4万円,-,4万円/4万円/-/-,2K,29.75m
23,京成本線 堀切菖蒲園駅 2階建 築46年,賃貸アパート,東京都葛飾区堀切２,京成本線/堀切菖蒲園駅 歩8分,京成本線/お花茶屋駅 歩14分,東武伊勢崎線/堀切駅 歩22分,築46年,2階建,1階,3.5万円,-,-/-/-/-,1DK,23m
24,ＪＲ常磐線 亀有駅 2階建 築44年,賃貸アパート,東京都葛飾区亀有２,ＪＲ常磐線/亀有駅 歩12分,京成本線/青砥駅 歩23分,京成押上線/青砥駅 歩23分,築44年,2階建,2階,3.5万円,-,-/-/-/-,1K,20m
25,山崎アパート,賃貸アパート,東京都葛飾区お花茶屋２,京成本線/お花茶屋駅 歩5分,京成本線/青砥駅 歩25分,京成押上線/京成立石駅 歩26分,築59年,2階建,1階,3.5万円,-,3.5万円/3.5万円/-/-,1K,19.83m
26,緑水荘,賃貸アパート,東京都葛飾区金町２,ＪＲ常磐線/金町駅 歩10分,京成金町線/京成金町駅 歩9分,京成金町線/柴又駅 歩12分,築44年,2階建,2階,3.5万円,-,3.5万円/3.5万円/-/-,1K,19.03m
27,緑水荘,賃貸アパート,東京都葛飾区金町２,ＪＲ常磐線/金町駅 歩10分,京成金町線/京成金町駅 歩9分,京成金町線/柴又駅 歩12分,築44年,2階建,2階,3.5万円,-,3.5万円/3.5万円/-/-,1K,18.5m
28,緑水荘,賃貸アパート,東京都葛飾区金町２,ＪＲ常磐線/金町駅 歩10分,京成金町線/京成金町駅 歩9分,京成金町線/柴又駅 歩12分,築44年,2階建,2階,3.5万円,-,3.5万円/3.5万円/-/-,1K,18.5m
29,第３あやめ荘,賃貸アパート,東京都葛飾区東新小岩７,ＪＲ総武線/新小岩駅 歩20分,None,None,築50年,2階建,1階,3.5万円,-,3.5万円/3.5万円/-/-,1DK,18.15m
30,大津ハイツ,賃貸アパート,東京都葛飾区新宿５,ＪＲ常磐線/金町駅 歩11分,京成金町線/京成金町駅 歩10分,ＪＲ常磐線/亀有駅 歩21分,築28年,2階建,2階,3.5万円,-,-/-/-/-,ワンルーム,15m
31,ブロッサム今宮,賃貸マンション,東京都葛飾区堀切８,東京メトロ千代田線/綾瀬駅 歩19分,None,京成本線/お花茶屋駅 歩16分,築29年,3階建,3階,3.5万円,1000円,-/-/-/-,ワンルーム,15m
32,ブロッサム今宮,賃貸マンション,東京都葛飾区堀切８,東京メトロ千代田線/綾瀬駅 歩19分,None,京成本線/お花茶屋駅 歩16分,築29年,3階建,3階,6万円,3000円,6万円/-/-/-,2K,36.36m
33,第二菊地荘,賃貸アパート,東京都葛飾区宝町１,京成本線/お花茶屋駅 歩10分,京成押上線/四ツ木駅 歩16分,京成押上線/京成立石駅 歩17分,築42年,2階建,1階,3.5万円,1000円,3.5万円/-/-/-,2K,26.44m
34,第二菊地荘,賃貸アパート,東京都葛飾区宝町１,京成本線/お花茶屋駅 歩10分,京成押上線/四ツ木駅 歩16分,京成押上線/京成立石駅 歩17分,築42年,2階建,2階,3.5万円,1000円,3.5万円/-/-/-,2K,26.44m
