,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
0,富士荘,賃貸アパート,東京都北区西が丘２,都営三田線/板橋本町駅 歩12分,ＪＲ埼京線/十条駅 歩13分,ＪＲ京浜東北線/東十条駅 歩18分,築39年,2階建,2階,2.5万円,-,-/-/-/-,1K,10m
1,小沢荘,賃貸アパート,東京都北区志茂５,ＪＲ埼京線/赤羽駅 歩14分,東京メトロ南北線/志茂駅 歩8分,ＪＲ京浜東北線/東十条駅 歩35分,築67年,2階建,2階,2.5万円,-,-/-/-/-,ワンルーム,10m
2,小沢荘,賃貸アパート,東京都北区志茂５,ＪＲ埼京線/赤羽駅 歩14分,東京メトロ南北線/志茂駅 歩8分,ＪＲ京浜東北線/東十条駅 歩35分,築67年,2階建,2階,2.8万円,-,-/-/-/-,ワンルーム,10m
3,都営三田線 板橋本町駅 2階建 築39年,賃貸アパート,東京都北区西が丘２,都営三田線/板橋本町駅 歩12分,ＪＲ埼京線/十条駅 歩13分,ＪＲ京浜東北線/東十条駅 歩18分,築39年,2階建,2階,2.5万円,-,-/-/-/-,1K,10m
4,千鳥荘,賃貸アパート,東京都北区田端４,ＪＲ山手線/駒込駅 歩6分,ＪＲ京浜東北線/田端駅 歩10分,ＪＲ山手線/巣鴨駅 歩13分,築51年,2階建,2階,2.5万円,-,2.5万円/2.5万円/-/-,ワンルーム,9.72m
5,都営三田線 西巣鴨駅 2階建 築38年,賃貸アパート,東京都北区西ケ原４,都営三田線/西巣鴨駅 歩6分,ＪＲ京浜東北線/王子駅 歩16分,ＪＲ山手線/巣鴨駅 歩16分,築38年,2階建,2階,2.3万円,5000円,2.3万円/2.3万円/-/-,ワンルーム,12.39m
6,都営三田線 西巣鴨駅 2階建 築38年,賃貸アパート,東京都北区西ケ原４,都営三田線/西巣鴨駅 歩6分,ＪＲ京浜東北線/王子駅 歩16分,ＪＲ山手線/巣鴨駅 歩16分,築38年,2階建,2階,2.3万円,5000円,2.3万円/2.3万円/-/-,ワンルーム,9.91m
7,都営三田線 西巣鴨駅 2階建 築38年,賃貸アパート,東京都北区西ケ原４,都営三田線/西巣鴨駅 歩6分,ＪＲ京浜東北線/王子駅 歩16分,ＪＲ山手線/巣鴨駅 歩16分,築38年,2階建,2階,2.9万円,5000円,2.9万円/2.9万円/-/-,ワンルーム,16.85m
8,つくも荘,賃貸アパート,東京都北区十条仲原２,ＪＲ埼京線/十条駅 歩7分,ＪＲ京浜東北線/東十条駅 歩8分,都営三田線/板橋本町駅 歩19分,築63年,2階建,1階,2.5万円,3000円,2.5万円/-/-/-,ワンルーム,9m
9,つくも荘,賃貸アパート,東京都北区十条仲原２,ＪＲ埼京線/十条駅 歩7分,ＪＲ京浜東北線/東十条駅 歩8分,都営三田線/板橋本町駅 歩19分,築63年,2階建,1階,2.5万円,3000円,2.5万円/-/-/-,ワンルーム,9m
10,つくも荘,賃貸アパート,東京都北区十条仲原２,ＪＲ埼京線/十条駅 歩7分,ＪＲ京浜東北線/東十条駅 歩8分,都営三田線/板橋本町駅 歩19分,築63年,2階建,1階,3.23万円,3000円,3.23万円/-/-/-,ワンルーム,13.95m
11,ＪＲ京浜東北線 赤羽駅 2階建 築49年,賃貸アパート,東京都北区志茂２,ＪＲ京浜東北線/赤羽駅 歩12分,東京メトロ南北線/志茂駅 歩3分,None,築49年,2階建,2階,2.5万円,3000円,-/-/-/-,1K,12m
12,岸町つくも荘,賃貸アパート,東京都北区岸町２,ＪＲ京浜東北線/東十条駅 歩4分,ＪＲ埼京線/十条駅 歩11分,東京メトロ南北線/王子神谷駅 歩13分,築62年,2階建,1階,2.5万円,3000円,2.5万円/2.5万円/-/-,ワンルーム,9.84m
13,岸町つくも荘,賃貸アパート,東京都北区岸町２,ＪＲ京浜東北線/東十条駅 歩4分,ＪＲ埼京線/十条駅 歩11分,東京メトロ南北線/王子神谷駅 歩13分,築62年,2階建,1階,2.5万円,3000円,2.5万円/2.5万円/-/-,ワンルーム,9.84m
14,ビットストロング赤羽,賃貸アパート,東京都北区赤羽西２,ＪＲ埼京線/赤羽駅 歩11分,ＪＲ京浜東北線/東十条駅 歩14分,None,築40年,2階建,1階,2万円,9000円,-/2万円/-/-,ワンルーム,9m
15,稲垣荘,賃貸アパート,東京都北区志茂４,東京メトロ南北線/志茂駅 歩6分,ＪＲ京浜東北線/赤羽駅 歩18分,東京メトロ南北線/赤羽岩淵駅 歩18分,築47年,2階建,2階,3万円,-,-/-/-/-,2K,18.59m
16,ＪＲ山手線 巣鴨駅 2階建 築38年,賃貸アパート,東京都北区西ケ原４,ＪＲ山手線/巣鴨駅 歩17分,ＪＲ京浜東北線/王子駅 歩13分,都営三田線/西巣鴨駅 歩9分,築38年,2階建,2階,2.8万円,2000円,-/-/-/-,1K,15m
17,都営三田線 西巣鴨駅 2階建 築38年,賃貸アパート,東京都北区西ケ原４,都営三田線/西巣鴨駅 歩9分,東京メトロ南北線/西ヶ原駅 歩7分,ＪＲ山手線/巣鴨駅 歩17分,築38年,2階建,2階,2.8万円,2000円,-/-/-/-,1K,15m
18,東京メトロ南北線 西ヶ原駅 2階建 築53年,賃貸アパート,東京都北区西ケ原２,東京メトロ南北線/西ヶ原駅 歩9分,都電荒川線/滝野川一丁目駅 歩6分,都電荒川線/飛鳥山駅 歩8分,築53年,2階建,1階,3万円,-,3万円/-/-/-,1K,14.58m
19,東京メトロ南北線 西ヶ原駅 2階建 築53年,賃貸アパート,東京都北区西ケ原２,東京メトロ南北線/西ヶ原駅 歩9分,都電荒川線/滝野川一丁目駅 歩6分,都電荒川線/飛鳥山駅 歩8分,築53年,2階建,2階,3.5万円,-,3.5万円/-/-/-,1K,14.98m
20,関川荘,賃貸アパート,東京都北区赤羽南２,ＪＲ京浜東北線/赤羽駅 歩5分,東京メトロ南北線/志茂駅 歩11分,ＪＲ京浜東北線/東十条駅 歩19分,築48年,2階建,1階,3万円,-,-/3万円/-/-,ワンルーム,10.05m
21,本橋ハウス,賃貸アパート,東京都北区東十条６,ＪＲ京浜東北線/東十条駅 歩10分,ＪＲ京浜東北線/赤羽駅 歩12分,ＪＲ埼京線/十条駅 歩20分,築55年,2階建,2階,3万円,350円,3万円/3万円/-/-,ワンルーム,10m
22,本橋ハウス,賃貸アパート,東京都北区東十条６,ＪＲ京浜東北線/東十条駅 歩10分,ＪＲ京浜東北線/赤羽駅 歩12分,ＪＲ埼京線/十条駅 歩20分,築55年,2階建,2階,3.25万円,-,3.25万円/3.25万円/-/-,1K,12m
