,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
0,東京メトロ東西線 南砂町駅 3階建 築50年,賃貸アパート,東京都江東区北砂７,東京メトロ東西線/南砂町駅 歩13分,都営新宿線/大島駅 歩23分,東京メトロ東西線/東陽町駅 歩28分,築50年,3階建,3階,2万円,-,-/-/-/-,ワンルーム,9.61m
1,福嶋荘,賃貸アパート,東京都江東区猿江１,ＪＲ総武線/錦糸町駅 歩14分,東京メトロ半蔵門線/住吉駅 歩4分,都営新宿線/菊川駅 歩9分,築53年,2階建,2階,2.6万円,3000円,2.6万円/2.6万円/-/-,ワンルーム,13.33m
2,福嶋荘,賃貸アパート,東京都江東区猿江１,ＪＲ総武線/錦糸町駅 歩14分,東京メトロ半蔵門線/住吉駅 歩4分,都営新宿線/菊川駅 歩9分,築53年,2階建,2階,3.2万円,3000円,3.2万円/3.2万円/-/-,ワンルーム,13m
3,福嶋荘,賃貸アパート,東京都江東区猿江１,ＪＲ総武線/錦糸町駅 歩14分,東京メトロ半蔵門線/住吉駅 歩4分,都営新宿線/菊川駅 歩9分,築53年,2階建,2階,3.9万円,3000円,3.9万円/3.9万円/-/-,ワンルーム,13m
4,スワン荘,賃貸アパート,東京都江東区大島１,都営新宿線/西大島駅 歩2分,都営新宿線/大島駅 歩11分,都営新宿線/住吉駅 歩12分,築52年,2階建,2階,3万円,-,-/3万円/-/-,ワンルーム,9.91m
5,東京メトロ半蔵門線 住吉駅 2階建 築55年,賃貸アパート,東京都江東区扇橋２,東京メトロ半蔵門線/住吉駅 歩12分,都営新宿線/住吉駅 歩12分,東京メトロ東西線/東陽町駅 歩20分,築55年,2階建,2階,3万円,500円,3万円/-/-/-,ワンルーム,9.72m
6,福寿荘,賃貸アパート,東京都江東区深川２,東京メトロ東西線/門前仲町駅 歩7分,都営大江戸線/清澄白河駅 歩8分,都営大江戸線/森下駅 歩15分,築49年,2階建,2階,3万円,1500円,3万円/3万円/-/-,ワンルーム,10m
7,都営新宿線 東大島駅 2階建 築47年,賃貸アパート,東京都江東区大島８,都営新宿線/東大島駅 歩7分,都営新宿線/大島駅 歩14分,都営新宿線/西大島駅 歩23分,築47年,2階建,2階,3.2万円,-,3.2万円/3.2万円/-/-,ワンルーム,14m
8,仲丸アパート,賃貸アパート,東京都江東区白河３,東京メトロ半蔵門線/清澄白河駅 歩4分,都営大江戸線/清澄白河駅 歩6分,都営新宿線/菊川駅 歩11分,築48年,2階建,2階,3万円,3000円,3万円/3万円/-/-,ワンルーム,13.2m
9,都営新宿線 大島駅 2階建 築53年,賃貸アパート,東京都江東区北砂５,都営新宿線/大島駅 歩12分,都営新宿線/西大島駅 歩21分,東京メトロ東西線/南砂町駅 歩22分,築53年,2階建,2階,3万円,3500円,3万円/-/-/-,1K,17m
10,都営新宿線 大島駅 2階建 築43年,賃貸アパート,東京都江東区大島８,都営新宿線/大島駅 歩8分,都営新宿線/東大島駅 歩6分,None,築43年,2階建,2階,3.2万円,2000円,4.8万円/4.8万円/-/-,1K,15m
11,太田アパート,賃貸アパート,東京都江東区猿江１,都営新宿線/住吉駅 歩7分,都営新宿線/菊川駅 歩9分,都営大江戸線/清澄白河駅 歩15分,築44年,2階建,2階,3.2万円,2000円,3.2万円/3.2万円/-/-,1K,10m
12,徳村荘,賃貸アパート,東京都江東区塩浜２,東京メトロ東西線/木場駅 歩16分,ＪＲ京葉線/潮見駅 歩16分,東京メトロ東西線/東陽町駅 歩19分,築49年,2階建,1階,3.5万円,-,-/3.5万円/-/-,1DK,15m
13,東京メトロ半蔵門線 清澄白河駅 2階建 築43年,賃貸アパート,東京都江東区白河３,東京メトロ半蔵門線/清澄白河駅 歩9分,都営大江戸線/清澄白河駅 歩9分,都営新宿線/菊川駅 歩13分,築43年,2階建,2階,3.2万円,3000円,3.2万円/3.2万円/-/-,ワンルーム,14m
14,一ノ瀬荘,賃貸アパート,東京都江東区大島８,都営新宿線/東大島駅 歩9分,ＪＲ総武線/亀戸駅 歩27分,都営新宿線/大島駅 歩14分,築47年,2階建,2階,3.5万円,-,3.5万円/3.5万円/-/-,ワンルーム,14m
15,板橋荘,賃貸アパート,東京都江東区三好４,東京メトロ半蔵門線/清澄白河駅 歩9分,都営大江戸線/清澄白河駅 歩9分,都営新宿線/菊川駅 歩12分,築40年,2階建,2階,3.5万円,-,3.5万円/3.5万円/-/-,ワンルーム,12m
16,東京メトロ半蔵門線 清澄白河駅 2階建 築48年,賃貸アパート,東京都江東区三好４,東京メトロ半蔵門線/清澄白河駅 歩9分,都営新宿線/菊川駅 歩12分,東京メトロ東西線/木場駅 歩15分,築48年,2階建,2階,3.5万円,-,3.5万円/3.5万円/-/-,ワンルーム,12m
17,東京メトロ東西線 木場駅 2階建 築48年,賃貸アパート,東京都江東区塩浜２,東京メトロ東西線/木場駅 歩14分,東京メトロ東西線/東陽町駅 歩17分,東京メトロ有楽町線/豊洲駅 歩23分,築48年,2階建,1階,3.5万円,-,-/3.5万円/-/-,1DK,11m
18,松濤荘,賃貸アパート,東京都江東区千石１,東京メトロ東西線/木場駅 歩12分,東京メトロ半蔵門線/住吉駅 歩19分,東京メトロ東西線/東陽町駅 歩13分,築52年,2階建,1階,3.2万円,3000円,3.2万円/3.2万円/-/-,ワンルーム,10.1m
19,東京メトロ東西線 木場駅 2階建 築48年,賃貸アパート,東京都江東区千石１,東京メトロ東西線/木場駅 歩12分,東京メトロ東西線/東陽町駅 歩13分,都営大江戸線/清澄白河駅 歩18分,築48年,2階建,1階,3.2万円,3000円,3.2万円/3.2万円/-/-,ワンルーム,10.01m
20,都営大江戸線 門前仲町駅 2階建 築55年,賃貸アパート,東京都江東区深川２,都営大江戸線/門前仲町駅 歩7分,東京メトロ半蔵門線/清澄白河駅 歩7分,ＪＲ京葉線/越中島駅 歩17分,築55年,2階建,2階,3.5万円,-,-/3.5万円/-/-,1K,10m
21,田中アパート,賃貸アパート,東京都江東区永代２,都営大江戸線/門前仲町駅 歩5分,ＪＲ京葉線/越中島駅 歩10分,都営大江戸線/月島駅 歩17分,築36年,2階建,2階,3.6万円,-,3.6万円/3.6万円/-/-,ワンルーム,13m
22,都営新宿線 東大島駅 4階建 築35年,賃貸マンション,東京都江東区東砂５,都営新宿線/東大島駅 バス8分 (バス停)東砂五丁目 歩1分,東京メトロ東西線/南砂町駅 歩23分,ＪＲ総武線/亀戸駅 バス15分 (バス停)東砂五丁目 歩1分,築35年,4階建,4階,3.6万円,-,-/-/-/-,ワンルーム,9m
23,都営新宿線 東大島駅 4階建 築35年,賃貸マンション,東京都江東区東砂５,都営新宿線/東大島駅 バス8分 (バス停)東砂五丁目 歩1分,東京メトロ東西線/南砂町駅 歩23分,ＪＲ総武線/亀戸駅 バス15分 (バス停)東砂五丁目 歩1分,築35年,4階建,4階,3.7万円,-,-/-/-/-,ワンルーム,10m
24,都営新宿線 東大島駅 4階建 築35年,賃貸マンション,東京都江東区東砂５,都営新宿線/東大島駅 バス8分 (バス停)東砂五丁目 歩1分,東京メトロ東西線/南砂町駅 歩23分,ＪＲ総武線/亀戸駅 バス15分 (バス停)東砂五丁目 歩1分,築35年,4階建,4階,3.8万円,-,-/-/-/-,ワンルーム,11m
25,木ノ村荘,賃貸マンション,東京都江東区福住１,東京メトロ東西線/門前仲町駅 歩7分,東京メトロ半蔵門線/水天宮前駅 歩14分,都営大江戸線/清澄白河駅 歩14分,築47年,3階建,3階,3.6万円,-,3.6万円/-/-/-,ワンルーム,10.53m
26,東京メトロ半蔵門線 住吉駅 2階建 築48年,賃貸アパート,東京都江東区住吉２,東京メトロ半蔵門線/住吉駅 歩1分,None,None,築48年,2階建,2階,3.5万円,2000円,3.5万円/3.5万円/-/-,ワンルーム,12m
27,玉吉荘,賃貸アパート,東京都江東区住吉２,都営新宿線/住吉駅 歩1分,都営新宿線/西大島駅 歩12分,ＪＲ総武線/錦糸町駅 歩14分,築48年,2階建,2階,3.5万円,2000円,3.5万円/3.5万円/-/-,ワンルーム,12m
