,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
0,大石邸,賃貸アパート,東京都目黒区目黒本町１,東急東横線/学芸大学駅 歩15分,東急目黒線/武蔵小山駅 歩17分,None,築45年,2階建,2階,2.7万円,1000円,2.7万円/1.35万円/-/-,ワンルーム,10m
1,泉荘,賃貸アパート,東京都目黒区原町２,東急目黒線/洗足駅 歩8分,東急目黒線/西小山駅 歩11分,東急大井町線/北千束駅 歩13分,築55年,2階建,2階,2.7万円,1700円,2.7万円/2.7万円/-/-,ワンルーム,9.94m
2,村田荘,賃貸アパート,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩11分,東急目黒線/西小山駅 歩14分,東急東横線/学芸大学駅 歩17分,築53年,2階建,2階,3万円,-,3万円/-/-/-,ワンルーム,9.81m
3,高木荘,賃貸アパート,東京都目黒区南１,東急目黒線/大岡山駅 歩12分,東急目黒線/洗足駅 歩10分,東急目黒線/西小山駅 歩12分,築43年,2階建,2階,3万円,500円,3万円/3万円/-/-,ワンルーム,15.5m
4,渡邊荘,賃貸アパート,東京都目黒区五本木３,東急東横線/学芸大学駅 歩9分,東急東横線/祐天寺駅 歩13分,None,築58年,2階建,2階,2.9万円,1500円,2.9万円/2.9万円/-/-,ワンルーム,12.1m
5,渡邊荘,賃貸アパート,東京都目黒区五本木３,東急東横線/学芸大学駅 歩9分,東急東横線/祐天寺駅 歩13分,None,築58年,2階建,2階,3.4万円,1500円,3.4万円/3.4万円/-/-,ワンルーム,12.1m
6,渡邊荘,賃貸アパート,東京都目黒区五本木３,東急東横線/学芸大学駅 歩9分,東急東横線/祐天寺駅 歩13分,None,築58年,2階建,1階,3.5万円,1500円,3.5万円/3.5万円/-/-,ワンルーム,12.1m
7,渡辺荘,賃貸アパート,東京都目黒区五本木３,東急東横線/学芸大学駅 歩9分,東急東横線/祐天寺駅 歩13分,None,築58年,2階建,2階,2.9万円,1500円,2.9万円/2.9万円/-/-,ワンルーム,8.5m
8,渡辺荘,賃貸アパート,東京都目黒区五本木３,東急東横線/学芸大学駅 歩9分,東急東横線/祐天寺駅 歩13分,None,築58年,2階建,2階,3.5万円,1500円,3.5万円/3.5万円/-/-,ワンルーム,12.1m
9,八雲荘,賃貸アパート,東京都目黒区八雲１,東急東横線/都立大学駅 歩5分,東急東横線/自由が丘駅 歩18分,東急大井町線/緑が丘駅 歩18分,築86年,2階建,2階,3万円,1000円,3万円/3万円/-/3万円,1K,18.2m
10,八雲荘,賃貸アパート,東京都目黒区八雲１,東急東横線/都立大学駅 歩5分,東急東横線/自由が丘駅 歩18分,東急大井町線/緑が丘駅 歩18分,築86年,2階建,1階,4.2万円,1000円,4.2万円/4.2万円/-/4.2万円,1K,21m
11,古川荘,賃貸アパート,東京都目黒区祐天寺１,東急東横線/祐天寺駅 歩5分,東京メトロ日比谷線/中目黒駅 歩11分,東急東横線/学芸大学駅 歩19分,築53年,2階建,2階,3万円,3000円,6万円/6万円/-/-,ワンルーム,8.51m
12,東急目黒線 不動前駅 2階建 築58年,賃貸アパート,東京都目黒区下目黒４,東急目黒線/不動前駅 歩10分,東京メトロ南北線/目黒駅 歩15分,ＪＲ山手線/目黒駅 歩15分,築58年,2階建,2階,3.2万円,1500円,3.2万円/-/-/-,ワンルーム,10m
13,東急東横線 祐天寺駅 2階建 築38年,賃貸アパート,東京都目黒区五本木１,東急東横線/祐天寺駅 歩3分,東急東横線/学芸大学駅 歩13分,東京メトロ日比谷線/中目黒駅 歩19分,築38年,2階建,2階,3.3万円,1000円,3.3万円/3.3万円/-/-,ワンルーム,10.01m
14,第三メキシコ荘,賃貸アパート,東京都目黒区目黒本町１,東急東横線/学芸大学駅 歩14分,東急目黒線/武蔵小山駅 歩14分,東急目黒線/西小山駅 歩18分,築45年,2階建,2階,3.5万円,1000円,3.5万円/3.5万円/-/-,ワンルーム,11.3m
15,東急東横線 学芸大学駅 2階建 築40年,賃貸アパート,東京都目黒区五本木３,東急東横線/学芸大学駅 歩9分,東急東横線/祐天寺駅 歩12分,東急田園都市線/三軒茶屋駅 歩24分,築40年,2階建,2階,3.5万円,1500円,3.5万円/3.5万円/-/-,ワンルーム,11.3m
