,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
0,東京メトロ日比谷線 広尾駅 2階建 築54年,賃貸アパート,東京都港区南麻布４,東京メトロ日比谷線/広尾駅 歩5分,None,None,築54年,2階建,2階,3.5万円,2000円,7万円/3.5万円/-/-,1K,8m
1,東京メトロ南北線 白金高輪駅 2階建 築49年,賃貸アパート,東京都港区白金５,東京メトロ南北線/白金高輪駅 歩8分,東京メトロ日比谷線/広尾駅 歩12分,None,築49年,2階建,2階,3.8万円,2000円,7.6万円/3.8万円/-/-,1K,13m
2,さつき荘,賃貸アパート,東京都港区三田１,東京メトロ南北線/麻布十番駅 歩3分,都営大江戸線/赤羽橋駅 歩10分,都営三田線/芝公園駅 歩17分,築53年,2階建,1階,4.7万円,-,4.7万円/-/-/-,1K,20m
3,坂田荘,賃貸アパート,東京都港区三田１,東京メトロ南北線/麻布十番駅 歩3分,都営大江戸線/麻布十番駅 歩3分,都営大江戸線/赤羽橋駅 歩9分,築48年,2階建,1階,4.8万円,-,4.8万円/-/-/-,ワンルーム,14m
4,スペースインＭＡ,賃貸マンション,東京都港区南麻布１,東京メトロ南北線/麻布十番駅 歩7分,東京メトロ南北線/白金高輪駅 歩16分,東京メトロ日比谷線/広尾駅 歩18分,築32年,5階建,2階,5万円,-,5万円/5万円/-/-,1K,12.75m
5,宮島荘,賃貸アパート,東京都港区芝３,ＪＲ山手線/田町駅 歩9分,都営三田線/三田駅 歩7分,都営大江戸線/赤羽橋駅 歩6分,築40年,2階建,2階,5万円,-,10万円/5万円/-/-,ワンルーム,12m
6,ＪＲ山手線 田町駅 11階建 築43年,賃貸マンション,東京都港区海岸３,ＪＲ山手線/田町駅 歩10分,都営三田線/三田駅 歩14分,新交通ゆりかもめ/芝浦ふ頭駅 歩5分,築43年,11階建,7階,4.8万円,5000円,4.8万円/4.8万円/-/-,1K,13.77m
7,ＪＲ山手線 田町駅 11階建 築43年,賃貸マンション,東京都港区海岸３,ＪＲ山手線/田町駅 歩10分,都営三田線/三田駅 歩14分,新交通ゆりかもめ/芝浦ふ頭駅 歩5分,築43年,11階建,7階,5.5万円,3000円,-/-/-/-,ワンルーム,13.77m
8,ＪＲ山手線 田町駅 11階建 築43年,賃貸マンション,東京都港区海岸３,ＪＲ山手線/田町駅 歩10分,都営三田線/三田駅 歩14分,新交通ゆりかもめ/芝浦ふ頭駅 歩5分,築43年,11階建,7階,5.5万円,5000円,5.5万円/5.5万円/-/-,ワンルーム,13.77m
9,ＪＲ山手線 田町駅 11階建 築43年,賃貸マンション,東京都港区海岸３,ＪＲ山手線/田町駅 歩10分,都営三田線/三田駅 歩14分,新交通ゆりかもめ/芝浦ふ頭駅 歩5分,築43年,11階建,6階,5.5万円,7000円,-/-/-/-,ワンルーム,13.77m
