,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
0,朝日荘,賃貸アパート,東京都中野区若宮３,西武新宿線/都立家政駅 歩3分,None,西武新宿線/野方駅 歩10分,築52年,3階建,1階,2万円,-,2万円/2万円/-/-,ワンルーム,10.01m
1,ＪＲ中央線 高円寺駅 2階建 築42年,賃貸アパート,東京都中野区若宮２,ＪＲ中央線/高円寺駅 歩20分,西武新宿線/鷺ノ宮駅 歩5分,None,築42年,2階建,2階,2万円,3000円,-/-/2万円/2万円,ワンルーム,11m
2,東京メトロ丸ノ内線 中野新橋駅 2階建 築38年,賃貸アパート,東京都中野区弥生町４,東京メトロ丸ノ内線/中野新橋駅 歩8分,東京メトロ丸ノ内線/新中野駅 歩15分,都営大江戸線/西新宿五丁目駅 歩18分,築38年,2階建,2階,2.4万円,-,2.4万円/2.4万円/-/-,1K,12m
3,幸和荘,賃貸アパート,東京都中野区弥生町４,東京メトロ丸ノ内線/中野新橋駅 歩8分,東京メトロ丸ノ内線/中野富士見町駅 歩9分,東京メトロ丸ノ内線/新中野駅 歩14分,築43年,2階建,2階,2.4万円,-,2.4万円/-/-/-,ワンルーム,10m
4,中安荘,賃貸アパート,東京都中野区本町５,東京メトロ丸ノ内線/中野富士見町駅 歩4分,None,None,築54年,2階建,2階,2.3万円,1000円,2.3万円/-/-/-,ワンルーム,10m
5,西武池袋線 東長崎駅 2階建 築42年,賃貸アパート,東京都中野区江原町３,西武池袋線/東長崎駅 歩8分,都営大江戸線/新江古田駅 歩8分,西武池袋線/江古田駅 歩13分,築42年,2階建,2階,2.3万円,2000円,2.3万円/-/-/-,ワンルーム,13.22m
6,都営大江戸線 新江古田駅 2階建 築38年,賃貸アパート,東京都中野区江古田３,都営大江戸線/新江古田駅 歩10分,西武新宿線/沼袋駅 歩15分,西武池袋線/江古田駅 歩20分,築38年,2階建,1階,2.5万円,-,2.5万円/2.5万円/-/-,1K,13m
7,都営大江戸線 新江古田駅 2階建 築38年,賃貸アパート,東京都中野区江古田３,都営大江戸線/新江古田駅 歩10分,西武新宿線/沼袋駅 歩15分,西武池袋線/江古田駅 歩20分,築38年,2階建,2階,2.5万円,-,2.5万円/-/-/-,1K,10m
8,西武新宿線 野方駅 2階建 築50年,賃貸アパート,東京都中野区野方５,西武新宿線/野方駅 歩3分,西武新宿線/都立家政駅 歩12分,ＪＲ中央線/高円寺駅 歩22分,築50年,2階建,1階,2.5万円,850円,2.5万円/2.5万円/-/-,ワンルーム,13m
9,紫光ハイツ,賃貸アパート,東京都中野区上高田１,ＪＲ中央線/東中野駅 歩10分,ＪＲ中央線/中野駅 歩14分,東京メトロ東西線/落合駅 歩10分,築30年,2階建,2階,2.5万円,1000円,1.25万円/-/-/-,1K,11m
10,東京メトロ丸ノ内線 中野富士見町駅 2階建 築51年,賃貸アパート,東京都中野区南台３,東京メトロ丸ノ内線/中野富士見町駅 歩15分,京王線/笹塚駅 歩16分,None,築51年,2階建,2階,2.6万円,-,2.6万円/2.6万円/-/-,ワンルーム,10.5m
