,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
0,レンタルパーキング,賃貸その他,東京都大田区池上８,東急多摩川線/武蔵新田駅 歩4分,東急池上線/池上駅 歩11分,None,築30年,平屋,-,1.78万円,-,1.78万円/-/-/-,ワンルーム,3.38m
1,アイリング糀谷シェアスペース,賃貸マンション,東京都大田区東糀谷２,京急空港線/大鳥居駅 歩8分,京急空港線/糀谷駅 歩17分,東京モノレール/整備場駅 歩26分,築31年,3階建,2階,1.98万円,-,-/-/-/-,ワンルーム,2.3m
2,高橋荘,賃貸アパート,東京都大田区北馬込１,東急大井町線/荏原町駅 歩8分,東急池上線/旗の台駅 歩10分,東急大井町線/旗の台駅 歩10分,築50年,2階建,2階,2万円,3500円,2万円/4万円/-/-,ワンルーム,10m
3,佐々木ハウス,賃貸アパート,東京都大田区久が原３,東急池上線/久が原駅 歩8分,東急池上線/御嶽山駅 歩13分,東急池上線/千鳥町駅 歩14分,築50年,2階建,2階,2.8万円,-,2.8万円/2.8万円/-/-,1K,12m
4,佐々木ハウス,賃貸アパート,東京都大田区久が原３,東急池上線/久が原駅 歩8分,東急池上線/御嶽山駅 歩13分,東急池上線/千鳥町駅 歩14分,築50年,2階建,2階,3万円,-,3万円/3万円/-/-,ワンルーム,12.96m
5,佐々木ハウス,賃貸アパート,東京都大田区久が原３,東急池上線/久が原駅 歩8分,東急池上線/御嶽山駅 歩13分,東急池上線/千鳥町駅 歩14分,築50年,2階建,2階,3万円,-,3万円/3万円/-/-,ワンルーム,12m
6,ＪＲ京浜東北線 蒲田駅 2階建 築56年,賃貸アパート,東京都大田区東矢口３,ＪＲ京浜東北線/蒲田駅 歩13分,東急池上線/蓮沼駅 歩6分,東急多摩川線/矢口渡駅 歩8分,築56年,2階建,2階,2.5万円,3500円,2.5万円/2.5万円/-/-,ワンルーム,9.9m
7,東急東横線 多摩川駅 2階建 築51年,賃貸アパート,東京都大田区田園調布１,東急東横線/多摩川駅 歩11分,東急池上線/雪が谷大塚駅 歩12分,東急多摩川線/沼部駅 歩11分,築51年,2階建,2階,2.8万円,1000円,-/-/-/-,ワンルーム,13.66m
8,親和荘,賃貸アパート,東京都大田区中馬込２,都営浅草線/馬込駅 歩3分,None,None,築51年,2階建,2階,2.5万円,4000円,2.5万円/2.5万円/-/-,1K,10m
9,亀楽荘旧館,賃貸アパート,東京都大田区西蒲田８,東急池上線/蓮沼駅 歩6分,ＪＲ京浜東北線/蒲田駅 歩7分,東急多摩川線/矢口渡駅 歩13分,築43年,2階建,2階,3万円,-,3万円/3万円/-/-,ワンルーム,11.14m
10,亀楽荘旧館,賃貸アパート,東京都大田区西蒲田８,東急池上線/蓮沼駅 歩6分,ＪＲ京浜東北線/蒲田駅 歩7分,東急多摩川線/矢口渡駅 歩13分,築43年,2階建,2階,4.5万円,-,4.5万円/4.5万円/-/-,2K,23.26m
11,山田アパート,賃貸アパート,東京都大田区田園調布本町,東急多摩川線/沼部駅 歩2分,東急池上線/御嶽山駅 歩15分,東急東横線/多摩川駅 歩11分,築51年,2階建,2階,3万円,1000円,3万円/-/-/-,ワンルーム,13.21m
12,山田アパート,賃貸アパート,東京都大田区田園調布本町,東急多摩川線/沼部駅 歩2分,東急池上線/御嶽山駅 歩15分,東急東横線/多摩川駅 歩11分,築51年,2階建,2階,3.1万円,1000円,3.1万円/-/-/-,ワンルーム,13.21m
13,山田荘,賃貸アパート,東京都大田区西蒲田５,ＪＲ京浜東北線/蒲田駅 歩9分,東急池上線/蓮沼駅 歩9分,京急本線/京急蒲田駅 歩17分,築50年,2階建,2階,2.9万円,2000円,2.9万円/2.9万円/-/-,ワンルーム,10m
14,山田荘,賃貸アパート,東京都大田区西蒲田５,ＪＲ京浜東北線/蒲田駅 歩9分,東急池上線/蓮沼駅 歩9分,京急本線/京急蒲田駅 歩17分,築50年,2階建,2階,2.9万円,3000円,2.9万円/2.9万円/-/-,ワンルーム,11m
15,パールハイツ,賃貸アパート,東京都大田区久が原３,東急池上線/久が原駅 歩7分,東急池上線/千鳥町駅 歩13分,東急池上線/御嶽山駅 歩16分,築52年,2階建,2階,3万円,2000円,3万円/3万円/-/-,ワンルーム,12.6m
16,京急本線 梅屋敷駅 2階建 築51年,賃貸アパート,東京都大田区大森南３,京急本線/梅屋敷駅 歩19分,京急空港線/大鳥居駅 歩20分,東京モノレール/昭和島駅 歩15分,築51年,2階建,2階,3.25万円,-,-/-/-/-,ワンルーム,13.24m
17,ＪＲ京浜東北線 蒲田駅 2階建 築49年,賃貸アパート,東京都大田区新蒲田１,ＪＲ京浜東北線/蒲田駅 歩7分,東急池上線/蓮沼駅 歩11分,東急多摩川線/矢口渡駅 歩16分,築49年,2階建,2階,3万円,3500円,3万円/3万円/-/-,ワンルーム,8.5m
18,福寿荘,賃貸アパート,東京都大田区新蒲田１,ＪＲ京浜東北線/蒲田駅 歩7分,東急池上線/蓮沼駅 歩11分,東急多摩川線/矢口渡駅 歩16分,築49年,2階建,2階,3万円,3500円,3万円/3万円/-/-,ワンルーム,8.5m
19,酢田荘,賃貸アパート,東京都大田区蒲田２,ＪＲ京浜東北線/蒲田駅 歩13分,京急本線/京急蒲田駅 歩7分,京急本線/梅屋敷駅 歩7分,築53年,2階建,2階,3.1万円,3000円,6.2万円/3.1万円/-/-,ワンルーム,10m
20,酢田荘,賃貸アパート,東京都大田区蒲田２,ＪＲ京浜東北線/蒲田駅 歩13分,京急本線/京急蒲田駅 歩7分,京急本線/梅屋敷駅 歩7分,築53年,2階建,2階,3.5万円,3000円,7万円/3.5万円/-/-,ワンルーム,11m
21,酢田荘,賃貸アパート,東京都大田区蒲田２,ＪＲ京浜東北線/蒲田駅 歩13分,京急本線/京急蒲田駅 歩7分,京急本線/梅屋敷駅 歩7分,築53年,2階建,2階,3.7万円,3000円,7.2万円/3.7万円/-/-,ワンルーム,10m
