,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
0,山崎荘,賃貸アパート,東京都渋谷区本町４,都営大江戸線/西新宿五丁目駅 歩10分,東京メトロ丸ノ内線/中野新橋駅 歩10分,京王新線/幡ヶ谷駅 歩12分,築39年,2階建,2階,3万円,-,3万円/3万円/-/-,ワンルーム,12.8m
1,京王新線 幡ヶ谷駅 2階建 築54年,賃貸アパート,東京都渋谷区幡ヶ谷１,京王新線/幡ヶ谷駅 歩5分,東京メトロ千代田線/代々木上原駅 歩12分,京王線/笹塚駅 歩8分,築54年,2階建,2階,3万円,-,3万円/3万円/-/-,ワンルーム,9.72m
2,京王新線 幡ヶ谷駅 2階建 築50年,賃貸アパート,東京都渋谷区幡ヶ谷３,京王新線/幡ヶ谷駅 歩7分,東京メトロ丸ノ内線/中野新橋駅 歩17分,都営大江戸線/西新宿五丁目駅 歩18分,築50年,2階建,2階,3万円,1500円,3万円/-/-/-,ワンルーム,13.22m
3,ヒロオハウス,賃貸アパート,東京都渋谷区広尾２,東京メトロ日比谷線/広尾駅 歩8分,ＪＲ山手線/恵比寿駅 歩10分,None,築54年,2階建,2階,2.6万円,7500円,2.6万円/2.6万円/-/1.62万円,ワンルーム,9.93m
4,ヒロオハウス,賃貸アパート,東京都渋谷区広尾２,東京メトロ日比谷線/広尾駅 歩8分,ＪＲ山手線/恵比寿駅 歩10分,None,築54年,2階建,2階,2.6万円,7500円,2.6万円/2.6万円/-/1.62万円,ワンルーム,9.93m
5,ヒロオハウス,賃貸アパート,東京都渋谷区広尾２,東京メトロ日比谷線/広尾駅 歩8分,ＪＲ山手線/恵比寿駅 歩10分,None,築54年,2階建,2階,2.9万円,7500円,2.9万円/2.9万円/-/1.62万円,ワンルーム,12.42m
6,ヒロオハウス,賃貸アパート,東京都渋谷区広尾２,東京メトロ日比谷線/広尾駅 歩8分,ＪＲ山手線/恵比寿駅 歩10分,None,築54年,2階建,2階,2.9万円,7500円,2.9万円/2.9万円/-/1.62万円,ワンルーム,12.42m
7,長谷川アパート,賃貸アパート,東京都渋谷区本町４,京王新線/初台駅 歩10分,都営大江戸線/西新宿五丁目駅 歩6分,None,築48年,2階建,1階,3.9万円,-,3.9万円/3.9万円/-/-,1K,20m
8,細谷荘,賃貸アパート,東京都渋谷区幡ヶ谷２,京王新線/幡ヶ谷駅 歩4分,京王新線/初台駅 歩13分,小田急線/代々木上原駅 歩17分,築55年,2階建,2階,3.9万円,-,3.9万円/3.9万円/-/-,1K,18m
9,ＪＲ山手線 恵比寿駅 2階建 築71年,賃貸アパート,東京都渋谷区恵比寿３,ＪＲ山手線/恵比寿駅 歩10分,東京メトロ南北線/白金台駅 歩18分,東京メトロ日比谷線/広尾駅 歩17分,築71年,2階建,2階,3.7万円,2000円,3.7万円/-/-/-,ワンルーム,11m
