,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
0,大塚荘,賃貸アパート,東京都品川区戸越４,都営浅草線/戸越駅 歩8分,東急大井町線/戸越公園駅 歩5分,東急池上線/戸越銀座駅 歩10分,築51年,2階建,2階,2.8万円,2000円,2.8万円/2.8万円/-/-,1K,10m
1,江口アパート,賃貸アパート,東京都品川区荏原４,東急目黒線/武蔵小山駅 歩10分,東急目黒線/西小山駅 歩10分,東急池上線/荏原中延駅 歩10分,築45年,2階建,2階,3万円,1000円,3万円/-/-/-,1K,13.7m
2,秋山テラス,賃貸テラス・タウンハウス,東京都品川区旗の台４,東急大井町線/旗の台駅 歩5分,東急池上線/長原駅 歩10分,都営浅草線/中延駅 歩16分,築50年,2階建,1階,2.9万円,2000円,2.9万円/-/-/-,2K,13.38m
3,中村荘,賃貸アパート,東京都品川区荏原６,東急目黒線/西小山駅 歩8分,東急池上線/荏原中延駅 歩13分,東急目黒線/洗足駅 歩12分,築49年,2階建,2階,3.1万円,-,3.1万円/3.1万円/-/-,ワンルーム,10m
4,飯島方,賃貸アパート,東京都品川区小山２,東急目黒線/武蔵小山駅 歩9分,東急目黒線/不動前駅 歩10分,東急池上線/戸越銀座駅 歩12分,築49年,2階建,1階,3万円,1500円,3万円/3万円/-/-,ワンルーム,12m
5,共栄荘,賃貸アパート,東京都品川区戸越４,都営浅草線/戸越駅 歩5分,東急大井町線/戸越公園駅 歩5分,東急池上線/戸越銀座駅 歩8分,築52年,2階建,1階,3.25万円,-,3.25万円/3.25万円/-/-,ワンルーム,10m
6,共栄荘,賃貸アパート,東京都品川区戸越４,都営浅草線/戸越駅 歩5分,東急大井町線/戸越公園駅 歩5分,東急池上線/戸越銀座駅 歩8分,築52年,2階建,2階,3.5万円,-,3.5万円/3.5万円/-/-,1K,10m
7,共栄荘,賃貸アパート,東京都品川区戸越４,都営浅草線/戸越駅 歩5分,東急大井町線/戸越公園駅 歩5分,東急池上線/戸越銀座駅 歩8分,築52年,2階建,2階,3.5万円,-,3.5万円/3.5万円/-/-,ワンルーム,10m
8,長谷川方,賃貸アパート,東京都品川区小山６,東急目黒線/西小山駅 歩6分,東急目黒線/洗足駅 歩7分,東急大井町線/北千束駅 歩13分,築41年,2階建,2階,3万円,3000円,3万円/3万円/-/-,ワンルーム,11m
9,都営浅草線 中延駅 2階建 築57年,賃貸アパート,東京都品川区二葉４,都営浅草線/中延駅 歩5分,東急大井町線/荏原町駅 歩9分,None,築57年,2階建,2階,3万円,3000円,3万円/3万円/-/-,ワンルーム,10m
