,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
0,司荘,賃貸アパート,東京都新宿区北新宿２,東京メトロ丸ノ内線/西新宿駅 歩9分,東京メトロ丸ノ内線/中野坂上駅 歩8分,都営大江戸線/中野坂上駅 歩8分,築53年,2階建,2階,2万円,2000円,2万円/2万円/-/-,ワンルーム,6.2m
1,司荘,賃貸アパート,東京都新宿区北新宿２,東京メトロ丸ノ内線/西新宿駅 歩9分,東京メトロ丸ノ内線/中野坂上駅 歩8分,都営大江戸線/中野坂上駅 歩8分,築53年,2階建,1階,2.5万円,3000円,2.5万円/2.5万円/-/-,ワンルーム,9m
2,東京メトロ丸ノ内線 中野坂上駅 2階建 築53年,賃貸アパート,東京都新宿区北新宿２,東京メトロ丸ノ内線/中野坂上駅 歩8分,東京メトロ丸ノ内線/西新宿駅 歩9分,ＪＲ中央線/大久保駅 歩10分,築53年,2階建,2階,2万円,2000円,2万円/2万円/-/-,ワンルーム,6.2m
3,ＪＲ中央線 東中野駅 2階建 築48年,賃貸アパート,東京都新宿区北新宿４,ＪＲ中央線/東中野駅 歩8分,東京メトロ東西線/落合駅 歩8分,None,築48年,2階建,2階,2.4万円,1000円,-/-/-/-,1K,10.74m
4,名越荘,賃貸アパート,東京都新宿区赤城下町,東京メトロ東西線/神楽坂駅 歩4分,東京メトロ有楽町線/江戸川橋駅 歩7分,都営大江戸線/牛込神楽坂駅 歩9分,築65年,2階建,2階,2.7万円,-,2.7万円/2.7万円/-/-,ワンルーム,9.9m
5,川村アパート,賃貸アパート,東京都新宿区喜久井町,東京メトロ東西線/早稲田駅 歩2分,都営大江戸線/若松河田駅 歩12分,都営大江戸線/牛込柳町駅 歩13分,築45年,2階建,2階,2.6万円,2000円,2.6万円/2.6万円/-/-,ワンルーム,8.25m
6,都営大江戸線 落合南長崎駅 2階建 築41年,賃貸アパート,東京都新宿区西落合３,都営大江戸線/落合南長崎駅 歩2分,西武池袋線/東長崎駅 歩12分,西武新宿線/中井駅 歩13分,築41年,2階建,2階,2.6万円,2500円,2.6万円/2.6万円/-/-,1K,9.72m
7,早川荘　別館,賃貸アパート,東京都新宿区早稲田南町,東京メトロ東西線/早稲田駅 歩1分,都営大江戸線/牛込柳町駅 歩11分,都電荒川線/早稲田駅 歩12分,築56年,2階建,2階,2.9万円,1000円,2.9万円/2.9万円/-/-,1K,10m
8,東京メトロ東西線 早稲田駅 2階建 築56年,賃貸アパート,東京都新宿区早稲田南町,東京メトロ東西線/早稲田駅 歩1分,都営大江戸線/牛込柳町駅 歩11分,東京メトロ東西線/神楽坂駅 歩14分,築56年,2階建,2階,2.9万円,1000円,2.9万円/2.9万円/-/-,ワンルーム,10m
9,ＪＲ山手線 高田馬場駅 2階建 築47年,賃貸アパート,東京都新宿区高田馬場４,ＪＲ山手線/高田馬場駅 歩9分,西武新宿線/下落合駅 歩15分,東京メトロ副都心線/西早稲田駅 歩15分,築47年,2階建,1階,2.7万円,3000円,-/-/-/-,1K,8m
10,狩野荘,賃貸アパート,東京都新宿区弁天町,東京メトロ東西線/神楽坂駅 歩10分,東京メトロ東西線/早稲田駅 歩4分,都営大江戸線/牛込柳町駅 歩11分,築43年,2階建,1階,2.9万円,1000円,2.9万円/2.9万円/-/-,ワンルーム,7.43m
11,プティハウス,賃貸マンション,東京都新宿区若松町,都営大江戸線/若松河田駅 歩4分,東京メトロ東西線/早稲田駅 歩9分,東京メトロ副都心線/東新宿駅 歩18分,築17年,3階建,3階,3万円,-,-/-/3万円/1万円,ワンルーム,4.6m
12,越後屋アパート,賃貸アパート,東京都新宿区北新宿４,ＪＲ中央線/東中野駅 歩4分,None,None,築40年,2階建,2階,2.9万円,1600円,2.9万円/-/-/-,ワンルーム,12m
13,ＪＲ中央線 東中野駅 2階建 築40年,賃貸アパート,東京都新宿区北新宿４,ＪＲ中央線/東中野駅 歩4分,東京メトロ東西線/落合駅 歩10分,ＪＲ中央線/大久保駅 歩15分,築40年,2階建,2階,2.9万円,1600円,2.9万円/-/-/-,1K,12m
14,青柳荘,賃貸マンション,東京都新宿区喜久井町,都営大江戸線/牛込柳町駅 歩5分,東京メトロ東西線/早稲田駅 歩7分,都営大江戸線/若松河田駅 歩9分,築49年,3階建,2階,2.9万円,3000円,2.9万円/-/-/-,ワンルーム,12m
