,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
0,京成押上線 京成曳舟駅 2階建 築58年,賃貸アパート,東京都墨田区八広１,京成押上線/京成曳舟駅 歩3分,東武伊勢崎線/曳舟駅 歩9分,都営浅草線/押上駅 歩17分,築58年,2階建,2階,2.5万円,-,2.5万円/-/-/-,ワンルーム,11m
1,島田荘,賃貸アパート,東京都墨田区八広１,京成押上線/京成曳舟駅 歩4分,東京メトロ半蔵門線/押上駅 歩17分,東武伊勢崎線/曳舟駅 歩12分,築59年,2階建,2階,2.5万円,-,2.5万円/-/-/-,ワンルーム,10m
2,島田荘,賃貸アパート,東京都墨田区八広１,京成押上線/京成曳舟駅 歩4分,東京メトロ半蔵門線/押上駅 歩17分,東武伊勢崎線/曳舟駅 歩12分,築59年,2階建,2階,2.5万円,-,2.5万円/2.5万円/-/-,1K,9.7m
3,都営新宿線 菊川駅 5階建 築32年,賃貸マンション,東京都墨田区菊川１,都営新宿線/菊川駅 歩4分,都営大江戸線/森下駅 歩7分,東京メトロ半蔵門線/清澄白河駅 歩16分,築32年,5階建,4階,2万円,12000円,-/-/-/-,ワンルーム,7.03m
4,ニュー国分,賃貸マンション,東京都墨田区立花４,東武亀戸線/小村井駅 歩2分,ＪＲ総武線/平井駅 歩17分,ＪＲ総武線/亀戸駅 歩21分,築45年,4階建,2階,3.5万円,-,3.5万円/3.5万円/-/-,1K,11m
5,ニュー国分,賃貸マンション,東京都墨田区立花４,東武亀戸線/小村井駅 歩2分,ＪＲ総武線/平井駅 歩17分,ＪＲ総武線/亀戸駅 歩21分,築45年,4階建,3階,3.7万円,-,-/-/-/-,1K,11m
6,鈴木荘,賃貸アパート,東京都墨田区東向島６,京成押上線/八広駅 歩5分,東武伊勢崎線/東向島駅 歩6分,東武伊勢崎線/鐘ヶ淵駅 歩11分,築43年,2階建,1階,2.9万円,7000円,2.9万円/2.9万円/-/-,ワンルーム,16.2m
7,鈴木荘,賃貸アパート,東京都墨田区東向島６,京成押上線/八広駅 歩5分,東武伊勢崎線/東向島駅 歩6分,東武伊勢崎線/鐘ヶ淵駅 歩11分,築43年,2階建,1階,2.9万円,7000円,2.9万円/2.9万円/-/-,ワンルーム,16.2m
8,東駒荘,賃貸アパート,東京都墨田区東駒形１,都営浅草線/浅草駅 歩9分,都営浅草線/本所吾妻橋駅 歩11分,東京メトロ銀座線/浅草駅 歩10分,築54年,2階建,2階,3.6万円,1000円,7.2万円/7.2万円/-/-,ワンルーム,13.77m
9,東駒荘,賃貸アパート,東京都墨田区東駒形１,都営浅草線/浅草駅 歩9分,都営浅草線/本所吾妻橋駅 歩11分,東京メトロ銀座線/浅草駅 歩10分,築54年,2階建,2階,3.6万円,1000円,7.2万円/7.2万円/-/-,ワンルーム,13.73m
10,東駒荘,賃貸アパート,東京都墨田区東駒形１,都営浅草線/浅草駅 歩9分,都営浅草線/本所吾妻橋駅 歩11分,東京メトロ銀座線/浅草駅 歩10分,築54年,2階建,2階,3.8万円,1000円,7.6万円/7.6万円/-/-,ワンルーム,17m
11,東駒荘,賃貸アパート,東京都墨田区東駒形１,都営浅草線/浅草駅 歩9分,都営浅草線/本所吾妻橋駅 歩11分,東京メトロ銀座線/浅草駅 歩10分,築54年,2階建,2階,3.8万円,1000円,7.6万円/7.6万円/-/-,ワンルーム,16m
12,岡本荘,賃貸アパート,東京都墨田区業平５,東京メトロ半蔵門線/押上駅 歩10分,京成押上線/押上駅 歩10分,都営浅草線/押上駅 歩10分,築66年,2階建,1階,3.7万円,-,3.7万円/3.7万円/-/-,ワンルーム,10.01m
13,都営新宿線 菊川駅 3階建 築41年,賃貸マンション,東京都墨田区菊川２,都営新宿線/菊川駅 歩1分,None,None,築41年,3階建,2階,2.6万円,11000円,2.6万円/2.6万円/-/-,ワンルーム,8.7m
14,第一みどり荘,賃貸アパート,東京都墨田区東向島５,東武伊勢崎線/東向島駅 歩8分,東武伊勢崎線/鐘ヶ淵駅 歩10分,京成押上線/八広駅 歩11分,築60年,2階建,2階,3.7万円,2500円,3.7万円/-/-/-,ワンルーム,12m
15,東武伊勢崎線 東向島駅 2階建 築53年,賃貸アパート,東京都墨田区東向島５,東武伊勢崎線/東向島駅 歩6分,京成押上線/京成曳舟駅 歩14分,東武伊勢崎線/曳舟駅 歩17分,築53年,2階建,2階,3.7万円,2500円,-/-/-/-,ワンルーム,12.5m
16,東京メトロ半蔵門線 押上駅 2階建 築52年,賃貸アパート,東京都墨田区業平４,東京メトロ半蔵門線/押上駅 歩5分,東武伊勢崎線/とうきょうスカイツリー駅 歩10分,東京メトロ半蔵門線/錦糸町駅 歩14分,築52年,2階建,2階,4.2万円,-,4.2万円/4.2万円/-/-,ワンルーム,19.44m
17,サクラビルマンション,賃貸マンション,東京都墨田区立花５,東武亀戸線/小村井駅 歩4分,東武亀戸線/東あずま駅 歩8分,ＪＲ総武線/平井駅 歩20分,築48年,7階建,7階,4.2万円,-,4.2万円/4.2万円/-/-,1K,12.5m
18,サクラビルマンション,賃貸マンション,東京都墨田区立花５,東武亀戸線/小村井駅 歩4分,東武亀戸線/東あずま駅 歩8分,ＪＲ総武線/平井駅 歩20分,築48年,7階建,7階,4.37万円,-,4.37万円/4.37万円/-/-,1K,16m
