,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
0,ひざわ荘,賃貸アパート,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩11分,東京メトロ日比谷線/南千住駅 歩11分,つくばエクスプレス/南千住駅 歩11分,築56年,2階建,2階,2万円,1700円,-/-/-/-,ワンルーム,9.72m
1,ひざわ荘,賃貸アパート,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩11分,東京メトロ日比谷線/南千住駅 歩11分,つくばエクスプレス/南千住駅 歩11分,築56年,2階建,1階,2万円,1700円,-/-/-/-,ワンルーム,7.29m
2,ひざわ荘,賃貸アパート,東京都台東区清川２,ＪＲ常磐線/南千住駅 歩11分,東京メトロ日比谷線/南千住駅 歩11分,つくばエクスプレス/南千住駅 歩11分,築56年,2階建,1階,2万円,1700円,-/-/-/-,ワンルーム,7.29m
3,サンファスト浅草（SAビル）,賃貸マンション,東京都台東区浅草５,つくばエクスプレス/浅草駅 歩13分,東京メトロ日比谷線/三ノ輪駅 歩14分,東武伊勢崎線/浅草駅 歩18分,築54年,5階建,5階,2.5万円,1000円,2.5万円/2.5万円/-/-,ワンルーム,5.7m
4,宝盛荘,賃貸アパート,東京都台東区三ノ輪１,東京メトロ日比谷線/三ノ輪駅 歩3分,None,None,築57年,3階建,2階,3万円,1000円,6万円/-/-/-,ワンルーム,10.52m
5,宝盛荘,賃貸アパート,東京都台東区三ノ輪１,東京メトロ日比谷線/三ノ輪駅 歩3分,None,None,築57年,3階建,2階,3万円,1000円,6万円/-/-/-,ワンルーム,10.52m
6,東京メトロ日比谷線 三ノ輪駅 2階建 築59年,賃貸アパート,東京都台東区三ノ輪１,東京メトロ日比谷線/三ノ輪駅 歩4分,東京メトロ日比谷線/南千住駅 歩13分,都電荒川線/三ノ輪橋駅 歩8分,築59年,2階建,2階,3万円,1000円,6万円/-/-/-,ワンルーム,10.52m
7,北村アパート,賃貸アパート,東京都台東区浅草５,つくばエクスプレス/浅草駅 歩10分,東京メトロ日比谷線/入谷駅 歩11分,東京メトロ銀座線/浅草駅 歩14分,築53年,2階建,2階,3万円,2000円,3万円/3万円/-/-,ワンルーム,9m
8,東京メトロ千代田線 根津駅 2階建 築48年,賃貸アパート,東京都台東区谷中１,東京メトロ千代田線/根津駅 歩6分,ＪＲ山手線/日暮里駅 歩13分,ＪＲ山手線/鶯谷駅 歩15分,築48年,2階建,1階,3.1万円,3000円,3.1万円/3.1万円/-/-,ワンルーム,18m
9,上野荘,賃貸アパート,東京都台東区谷中１,東京メトロ千代田線/根津駅 歩5分,東京メトロ千代田線/千駄木駅 歩12分,ＪＲ山手線/日暮里駅 歩15分,築48年,2階建,1階,3.1万円,3000円,3.1万円/3.1万円/-/-,ワンルーム,18m
10,つくばエクスプレス 浅草駅 2階建 築71年,賃貸アパート,東京都台東区浅草５,つくばエクスプレス/浅草駅 歩11分,東京メトロ日比谷線/入谷駅 歩11分,東京メトロ日比谷線/三ノ輪駅 歩13分,築71年,2階建,2階,3.5万円,-,3.5万円/3.5万円/-/-,ワンルーム,9.5m
11,東京メトロ日比谷線 三ノ輪駅 2階建 築49年,賃貸アパート,東京都台東区竜泉３,東京メトロ日比谷線/三ノ輪駅 歩6分,ＪＲ常磐線/南千住駅 歩14分,つくばエクスプレス/浅草駅 歩20分,築49年,2階建,1階,3.8万円,-,3.8万円/3.8万円/-/3.8万円,1K,16m
12,東京メトロ日比谷線 三ノ輪駅 2階建 築49年,賃貸アパート,東京都台東区竜泉３,東京メトロ日比谷線/三ノ輪駅 歩6分,ＪＲ常磐線/南千住駅 歩14分,つくばエクスプレス/浅草駅 歩20分,築49年,2階建,1階,5万円,-,5万円/5万円/-/5万円,1K,16m
13,ＪＲ山手線 上野駅 3階建 築57年,賃貸マンション,東京都台東区東上野２,ＪＲ山手線/上野駅 歩5分,ＪＲ山手線/御徒町駅 歩7分,都営大江戸線/新御徒町駅 歩8分,築57年,3階建,3階,2.7万円,12000円,-/-/-/-,ワンルーム,8.31m
